dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_adaptor_enabled,ttt_adaptor_bottleneck,ttt_adaptor_trainable_params,ttt_adaptor_target
ada_prior,/data0/zhuhao2025/tabiclv2_test/data178/ada_prior,binclass,3649,730,913,14,2,0.8565169769989047,0.8477744135617646,0.7600884910288848,0.8977922194680263,0.3349590986803722,7.542428255081177,2.2475011348724365,ok,,3649,2919,0,913,0.33131033182144165,8,1e-05,True,7.3494648933410645,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.8970503879479516,0.8970503879479516,0.8397260273972603,0.8397260273972603,0,True,False,,True,64,67136,row_interactor_output
allrep,/data0/zhuhao2025/tabiclv2_test/data178/allrep,multiclass,3017,604,755,29,4,0.9841059602649007,0.9836103393706578,0.7504158512720156,0.9964394192784365,0.03843233731080944,8.403306007385254,2.3314130306243896,ok,,3017,2413,0,755,0.03742574155330658,8,1e-05,True,8.09619402885437,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.9987803748811264,0.9987803748811264,0.9900662251655629,0.9900662251655629,0,True,False,,True,64,67136,row_interactor_output
autoUniv-au4-2500,/data0/zhuhao2025/tabiclv2_test/data178/autoUniv-au4-2500,multiclass,2000,400,500,100,3,0.724,0.6943919611919612,0.5238687001820121,0.7663339729481261,0.6676016623707256,24.900191068649292,3.9259445667266846,ok,,2000,1600,0,500,0.7729561030864716,13,1e-05,True,24.452749252319336,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.7017272834139142,0.7023310339450889,0.715,0.715,5,True,False,,True,64,67136,row_interactor_output
banknote_authentication,/data0/zhuhao2025/tabiclv2_test/data178/banknote_authentication,binclass,1097,220,275,4,2,0.5381818181818182,0.44139184931811665,0.4919639987142398,0.5268134576234865,0.6867611707083077,3.277536392211914,0.23730182647705078,ok,,1097,877,0,275,0.6819475591182709,8,1e-05,True,3.250154495239258,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.5502258280361325,0.5502258280361325,0.5818181818181818,0.5818181818181818,0,True,False,,True,64,67136,row_interactor_output
churn,/data0/zhuhao2025/tabiclv2_test/data178/churn,binclass,4000,800,1000,20,2,0.967,0.9656316025636733,0.8948348318595761,0.9324466021020649,0.12166330592354598,6.674161195755005,2.7612509727478027,ok,,4000,3200,0,1000,0.1301046833395958,8,1e-05,True,6.524333715438843,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.9267431824915303,0.9267431824915303,0.97125,0.97125,0,True,False,,True,64,67136,row_interactor_output
compass,/data0/zhuhao2025/tabiclv2_test/data178/compass,binclass,13315,2663,3329,17,2,0.8305797536797838,0.830454455067782,0.8305716172903672,0.9091228849041348,0.3747536629343101,65.79221940040588,12.820657014846802,ok,,13315,10652,0,3329,0.5741568803787231,60,1e-05,True,65.41932511329651,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,2,epoch_chunk,roc_auc,0.8832283636002645,0.8844486861015787,0.801351858805858,0.8009763424708974,25,False,False,,True,64,67136,row_interactor_output
customer_satisfaction_in_airline,/data0/zhuhao2025/tabiclv2_test/data178/customer_satisfaction_in_airline,binclass,103904,20781,25976,21,2,0.9646981829380967,0.9647412617415319,0.9658384976135245,0.9958924037854497,0.0786074649577339,278.36667680740356,584.8444166183472,ok,,103904,83123,0,25976,0.13039831817150116,88,1e-05,True,272.560911655426,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,11,epoch_chunk,roc_auc,0.9950404232084465,0.9950404232084465,0.9622251094750012,0.9622251094750012,0,True,False,,True,64,67136,row_interactor_output
delta_ailerons,/data0/zhuhao2025/tabiclv2_test/data178/delta_ailerons,binclass,5703,1141,1426,5,2,0.9530154277699859,0.9530285710209139,0.9531399020206028,0.9823688424727457,0.15839464754107768,7.233564138412476,2.017601490020752,ok,,5703,4562,0,1426,0.14975304901599884,8,1e-05,True,7.13007664680481,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.9757986924879734,0.9757986924879734,0.9421560035056967,0.9421560035056967,0,True,False,,True,64,67136,row_interactor_output
drug_consumption,/data0/zhuhao2025/tabiclv2_test/data178/drug_consumption,multiclass,1507,302,377,12,7,0.40318302387267907,0.23169686059980046,0.14285714285714285,0.5300659335357348,1.51248008855557,8.413585662841797,0.8371360301971436,ok,,1507,1205,0,377,1.5059789419174194,14,1e-05,True,8.317027568817139,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.5153936310272191,0.5163650005399244,0.40397350993377484,0.40397350993377484,6,True,False,,True,64,67136,row_interactor_output
electricity,/data0/zhuhao2025/tabiclv2_test/data178/electricity,binclass,36249,7250,9063,8,2,0.9266247379454927,0.9265824577886218,0.9243545475928026,0.9807754847184377,0.17630089121663248,51.95919585227966,54.16134810447693,ok,,36249,28999,0,9063,0.33348631858825684,32,1e-05,True,51.178534507751465,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,4,epoch_chunk,roc_auc,0.975079773134053,0.975079773134053,0.9143448275862069,0.9143448275862069,0,True,False,,True,64,67136,row_interactor_output
