dataset_name,outcome,adaptor_accuracy,iclv2_accuracy,delta_accuracy,delta_pp,n_test,delta_correct,task_type,n_features_result,n_features_info,n_total_info,feature_bin,sample_bin,n_classes,ttt_applied,ttt_adaptor_enabled,ttt_best_epoch,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_split_reason
IBM_HR_Analytics_Employee_Attrition_and_Performance,tie,0.877551020408,0.877551020408,0,0,294,0,binclass,31,31,1470,31-100,<=2k,2,True,True,0,0.8940677966101694,0.8940677966101694,full train set chunked per epoch | validation=dataset_val_split
Indian_pines,tie,0.987971569163,0.987971569163,0,0,1829,0,multiclass,220,220,9144,101-300,5k-20k,8,True,True,0,,,full train set chunked per epoch | validation=dataset_val_split
MIC,tie,0.909090909091,0.909090909091,0,0,330,0,binclass,104,104,1649,101-300,<=2k,2,True,True,13,0.875,0.875,full train set chunked per epoch | validation=dataset_val_split
Marketing_Campaign,tie,0.883928571429,0.883928571429,0,0,448,0,binclass,27,27,2240,11-30,2k-5k,2,True,True,0,0.9025069637883008,0.9025069637883008,full train set chunked per epoch | validation=dataset_val_split
Mobile_Price_Classification,tie,0.965,0.965,0,0,400,0,multiclass,20,20,2000,11-30,<=2k,4,True,True,0,0.96875,0.96875,full train set chunked per epoch | validation=dataset_val_split
National_Health_and_Nutrition_Health_Survey,tie,0.833333333333,0.833333333333,0,0,456,0,binclass,7,7,2278,<=10,2k-5k,2,True,True,2,0.8547945205479452,0.8547945205479452,full train set chunked per epoch | validation=dataset_val_split
PhishingWebsites,tie,0.980551786522,0.980551786522,0,0,2211,0,binclass,30,30,11055,11-30,5k-20k,2,True,True,0,0.9773883550028264,0.9773883550028264,full train set chunked per epoch | validation=dataset_val_split
PieChart3,tie,0.884259259259,0.884259259259,0,0,216,0,binclass,37,37,1077,31-100,<=2k,2,True,True,0,0.884393063583815,0.884393063583815,full train set chunked per epoch | validation=dataset_val_split
Pima_Indians_Diabetes_Database,tie,0.727272727273,0.727272727273,0,0,154,0,binclass,8,8,768,<=10,<=2k,2,True,True,0,0.7723577235772358,0.7723577235772358,full train set chunked per epoch | validation=dataset_val_split
PizzaCutter3,tie,0.885167464115,0.885167464115,0,0,209,0,binclass,37,37,1043,31-100,<=2k,2,True,True,5,0.8922155688622755,0.8922155688622755,full train set chunked per epoch | validation=dataset_val_split
Pumpkin_Seeds,tie,0.882,0.882,0,0,500,0,binclass,12,12,2500,11-30,2k-5k,2,True,True,3,0.8725,0.8725,full train set chunked per epoch | validation=dataset_val_split
QSAR_biodegradation,tie,0.890995260664,0.890995260664,0,0,211,0,binclass,41,41,1054,31-100,<=2k,2,True,True,0,0.863905325443787,0.863905325443787,full train set chunked per epoch | validation=dataset_val_split
SDSS17,tie,0.9776,0.9776,0,0,20000,0,multiclass,12,12,100000,11-30,20k-100k,3,True,True,0,,,full train set chunked per epoch | validation=dataset_val_split
Telecom_Churn_Dataset,tie,0.961019490255,0.961019490255,0,0,667,0,binclass,17,17,3333,11-30,2k-5k,2,True,True,9,0.9550561797752808,0.9550561797752808,full train set chunked per epoch | validation=dataset_val_split
Water_Quality_and_Potability,tie,0.657012195122,0.657012195122,0,0,656,0,binclass,8,8,3276,<=10,2k-5k,2,True,True,0,0.6354961832061069,0.6354961832061069,full train set chunked per epoch | validation=dataset_val_split
Wilt,tie,0.99274611399,0.99274611399,0,0,965,0,binclass,5,5,4821,<=10,2k-5k,2,True,True,0,0.9870466321243524,0.9870466321243524,full train set chunked per epoch | validation=dataset_val_split
abalone,tie,0.63995215311,0.63995215311,0,0,836,0,multiclass,8,8,4177,<=10,2k-5k,3,True,True,0,0.6935724962630793,0.6935724962630793,full train set chunked per epoch | validation=dataset_val_split
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,tie,0.595,0.595,0,0,400,0,binclass,7,7,2000,<=10,<=2k,2,True,True,0,0.65625,0.65625,full train set chunked per epoch | validation=dataset_val_split
allbp,tie,0.977483443709,0.977483443709,0,0,755,0,multiclass,29,29,3772,11-30,2k-5k,3,True,True,0,0.9817880794701986,0.9817880794701986,full train set chunked per epoch | validation=dataset_val_split
allrep,tie,0.984105960265,0.984105960265,0,0,755,0,multiclass,29,29,3772,11-30,2k-5k,4,True,True,0,0.9900662251655628,0.9900662251655628,full train set chunked per epoch | validation=dataset_val_split
analcatdata_authorship,tie,0.994082840237,0.994082840237,0,0,169,0,multiclass,69,69,841,31-100,<=2k,4,True,True,0,1.0,1.0,full train set chunked per epoch | validation=dataset_val_split
autoUniv-au7-1100,tie,0.409090909091,0.409090909091,0,0,220,0,multiclass,12,12,1100,11-30,<=2k,5,True,True,0,0.5227272727272727,0.5227272727272727,full train set chunked per epoch | validation=dataset_val_split
banknote_authentication,tie,0.538181818182,0.538181818182,0,0,275,0,binclass,4,4,1372,<=10,<=2k,2,True,True,0,0.5818181818181818,0.5818181818181818,full train set chunked per epoch | validation=dataset_val_split
baseball,tie,0.944029850746,0.944029850746,0,0,268,0,multiclass,16,16,1340,11-30,<=2k,3,True,True,0,0.9488372093023256,0.9488372093023256,full train set chunked per epoch | validation=dataset_val_split
car-evaluation,tie,0.985549132948,0.985549132948,0,0,346,0,multiclass,21,21,1728,11-30,<=2k,4,True,True,0,0.9855595667870036,0.9855595667870036,full train set chunked per epoch | validation=dataset_val_split
churn,tie,0.967,0.967,0,0,1000,0,binclass,20,20,5000,11-30,2k-5k,2,True,True,0,0.97125,0.97125,full train set chunked per epoch | validation=dataset_val_split
cmc,tie,0.603389830508,0.603389830508,0,0,295,0,multiclass,9,9,1473,<=10,<=2k,3,True,True,0,0.5508474576271186,0.5508474576271186,full train set chunked per epoch | validation=dataset_val_split
company_bankruptcy_prediction,tie,0.968475073314,0.968475073314,0,0,1364,0,binclass,95,95,6819,31-100,5k-20k,2,True,True,0,0.9670027497708524,0.9670027497708524,full train set chunked per epoch | validation=dataset_val_split
compass,tie,0.83057975368,0.83057975368,0,0,3329,0,binclass,17,17,16644,11-30,5k-20k,2,True,True,25,0.801351858805858,0.8009763424708974,full train set chunked per epoch | validation=dataset_val_split
contraceptive_method_choice,tie,0.637288135593,0.637288135593,0,0,295,0,multiclass,9,9,1473,<=10,<=2k,3,True,True,0,0.5423728813559322,0.5423728813559322,full train set chunked per epoch | validation=dataset_val_split
dabetes_130-us_hospitals,tie,0.643853787953,0.643853787953,0,0,20354,0,binclass,20,20,101766,11-30,>100k,2,True,True,0,0.6482220720997359,0.6482220720997359,full train set chunked per epoch | validation=dataset_val_split
default_of_credit_card_clients,tie,0.827166666667,0.827166666667,0,0,6000,0,binclass,23,23,30000,11-30,20k-100k,2,True,True,0,0.82125,0.82125,full train set chunked per epoch | validation=dataset_val_split
delta_ailerons,tie,0.95301542777,0.95301542777,0,0,1426,0,binclass,5,5,7129,<=10,5k-20k,2,True,True,0,0.9421560035056968,0.9421560035056968,full train set chunked per epoch | validation=dataset_val_split
dis,tie,0.990728476821,0.990728476821,0,0,755,0,binclass,29,29,3772,11-30,2k-5k,2,True,True,4,0.98841059602649,0.98841059602649,full train set chunked per epoch | validation=dataset_val_split
dna,tie,0.971786833856,0.971786833856,0,0,638,0,multiclass,180,180,3186,101-300,2k-5k,3,True,True,0,0.9686274509803922,0.9686274509803922,full train set chunked per epoch | validation=dataset_val_split
drug_consumption,tie,0.403183023873,0.403183023873,0,0,377,0,multiclass,12,12,1884,11-30,<=2k,7,True,True,6,0.4039735099337748,0.4039735099337748,full train set chunked per epoch | validation=dataset_val_split
dry_bean_dataset,tie,0.928755049578,0.928755049578,0,0,2723,0,multiclass,16,16,13611,11-30,5k-20k,7,True,True,0,0.9292929292929292,0.9292929292929292,full train set chunked per epoch | validation=dataset_val_split
eeg-eye-state,tie,0.993991989319,0.993991989319,0,0,2996,0,binclass,14,14,14980,11-30,5k-20k,2,True,True,0,0.9929078014184396,0.9929078014184396,full train set chunked per epoch | validation=dataset_val_split
estimation_of_obesity_levels,tie,0.990543735225,0.990543735225,0,0,423,0,multiclass,16,16,2111,11-30,2k-5k,7,True,True,0,0.9763313609467456,0.9763313609467456,full train set chunked per epoch | validation=dataset_val_split
customer_satisfaction_in_airline,loss,0.964698182938,0.964775177087,-7.69941484445e-05,-0.00769941484445,25976,-2,binclass,21,21,129880,11-30,>100k,2,True,True,0,0.9622251094750012,0.9622251094750012,full train set chunked per epoch | validation=dataset_val_split
Rain_in_Australia,loss,0.857624089097,0.85772721023,-0.000103121132958,-0.0103121132958,29092,-3,multiclass,18,18,145460,11-30,>100k,3,True,True,17,0.8525822806565266,0.8524963478559766,full train set chunked per epoch | validation=dataset_val_split
INNHotelsGroup,loss,0.904479669194,0.904617505169,-0.00013783597519,-0.013783597519,7255,-1,binclass,17,17,36275,11-30,20k-100k,2,True,True,0,0.8993797381116472,0.8993797381116472,full train set chunked per epoch | validation=dataset_val_split
FOREX_audjpy-hour-High,loss,0.721734169994,0.722076440388,-0.000342270393611,-0.0342270393611,8765,-3,binclass,10,10,43825,<=10,20k-100k,2,True,True,0,0.716343411294923,0.716343411294923,full train set chunked per epoch | validation=dataset_val_split
Firm-Teacher_Clave-Direction_Classification,loss,0.878703703704,0.879166666667,-0.000462962962963,-0.0462962962963,2160,-1,multiclass,16,16,10800,11-30,5k-20k,4,True,True,0,0.8674768518518519,0.8674768518518519,full train set chunked per epoch | validation=dataset_val_split
GesturePhaseSegmentationProcessed,loss,0.826835443038,0.827341772152,-0.000506329113924,-0.0506329113924,1975,-1,multiclass,32,32,9873,31-100,5k-20k,5,True,True,0,0.7854430379746835,0.7854430379746835,full train set chunked per epoch | validation=dataset_val_split
