dataset_name,task_type,n_train,n_val,n_test,n_features,n_classes,status_baseline,status_ttt,bucket_ttt_vs_baseline,accuracy_baseline,accuracy_ttt,delta_ttt_vs_baseline,delta_pp_ttt_vs_baseline,relative_delta_pct_ttt_vs_baseline,fit_seconds_baseline,fit_seconds_ttt,predict_seconds_baseline,predict_seconds_ttt,ttt_applied_ttt,ttt_steps_ttt,ttt_lr_ttt,ttt_loss_ttt,ttt_update_seconds_ttt,n_train_a_ttt,n_train_b_ttt,n_holdout_c_ttt,n_test_d_ttt,ttt_split_strategy_ttt,ttt_split_reason_ttt,error_type_ttt,error_first_line_ttt,dataset_dir
INNHotelsGroup,binclass,29020,5804,7255,17,2,ok,ok,tie,0.9021364576154376,0.9021364576154376,0.0,0.0,0.0,0.7287540435791016,765.2595024108887,17.90743350982666,18.009326457977295,True,9,5e-06,0.2338286913000047,764.8142657279968,29020,21765,7255,7255,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/INNHotelsGroup
Indian_pines,multiclass,7315,1463,1829,220,8,ok,ok,improved,0.9622744669218152,0.9655549480590486,0.0032804811372334,0.3280481137233448,0.3409090909090896,1.4927284717559814,155.12442541122437,11.215372085571287,10.965352296829224,True,9,5e-06,0.130788657348603,153.9622585773468,7315,5486,1829,1829,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/Indian_pines
JapaneseVowels,multiclass,7968,1594,1993,14,9,ok,ok,tie,0.9989964877069744,0.9989964877069744,0.0,0.0,0.0,0.4063103199005127,77.9844560623169,2.62676739692688,2.542854070663452,True,9,5e-06,0.0033042694994946,77.87718105316162,7968,5976,1992,1993,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/JapaneseVowels
KDDCup09_upselling,binclass,4102,821,1026,49,2,ok,ok,improved,0.8118908382066277,0.8128654970760234,0.0009746588693957,0.0974658869395739,0.1200480192076864,0.5369017124176025,37.37950301170349,2.047600030899048,1.9957928657531736,True,9,5e-06,0.347414493560791,37.16915202140808,4102,3076,1026,1026,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/KDDCup09_upselling
MIC,binclass,1319,264,330,104,2,ok,ok,regressed,0.9090909090909092,0.9,-0.0090909090909091,-0.909090909090915,-1.0000000000000064,0.5674049854278564,15.846659898757936,1.170243501663208,1.0945885181427002,True,9,5e-06,0.2900077756494283,15.582040309906006,1319,989,330,330,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/MIC
MagicTelescope,binclass,15216,3044,3804,9,2,ok,ok,improved,0.8848580441640379,0.8890641430073607,0.0042060988433227,0.4206098843322792,0.4753416518122371,0.4342396259307861,226.8189063072205,6.051984786987305,6.298311471939087,True,9,5e-06,0.2838997356593609,226.67983984947205,15216,11412,3804,3804,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/MagicTelescope
Marketing_Campaign,binclass,1792,359,448,27,2,ok,ok,improved,0.890625,0.8950892857142857,0.0044642857142856,0.4464285714285698,0.5012531328320784,0.3790252208709717,14.397438049316406,0.7090649604797363,0.6551570892333984,True,9,5e-06,0.2377671590074896,14.321082592010498,1792,1344,448,448,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/Marketing_Campaign
Mobile_Price_Classification,multiclass,1600,320,400,20,4,ok,ok,improved,0.94,0.9475,0.0075,0.7500000000000062,0.7978723404255386,0.3607692718505859,11.785499572753906,0.5316307544708252,0.5536494255065918,True,9,5e-06,0.1555642541497945,11.7274329662323,1600,1200,400,400,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/Mobile_Price_Classification
National_Health_and_Nutrition_Health_Survey,binclass,1822,365,456,7,2,ok,ok,tie,0.8399122807017544,0.8399122807017544,0.0,0.0,0.0,0.3388147354125976,11.711706638336182,0.4682562351226806,0.4689314365386963,True,9,5e-06,0.3591246530413627,11.683233737945557,1822,1366,456,456,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/National_Health_and_Nutrition_Health_Survey
PhishingWebsites,binclass,8844,1769,2211,30,2,ok,ok,improved,0.979194934418815,0.9796472184531886,0.0004522840343735,0.0452284034373584,0.0461893764434178,0.5716607570648193,101.36296153068542,3.755772829055786,3.8476035594940186,True,9,5e-06,0.0502339812228456,101.08441281318665,8844,6633,2211,2211,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/PhishingWebsites
PieChart3,binclass,861,173,216,37,2,ok,ok,tie,0.875,0.875,0.0,0.0,0.0,0.5609714984893799,10.73590874671936,0.7397828102111816,0.7144713401794434,True,9,5e-06,0.2979264976456761,10.666548728942873,861,645,216,216,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/PieChart3
Pima_Indians_Diabetes_Database,binclass,614,123,154,8,2,ok,ok,improved,0.7467532467532467,0.7662337662337663,0.0194805194805195,1.9480519480519545,2.6086956521739215,0.3313746452331543,10.60501265525818,0.365262508392334,0.3282263278961181,True,9,5e-06,0.4258653111755848,10.57902455329895,614,460,154,154,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/Pima_Indians_Diabetes_Database
