dataset_name,task_type,accuracy_ensemble,fit_seconds_ensemble,predict_seconds_ensemble,ttt_update_seconds_ensemble,accuracy_icl,fit_seconds_icl,predict_seconds_icl,ttt_update_seconds_icl,delta_ensemble_minus_icl,delta_pp,total_seconds_ensemble,total_seconds_icl,winner
letter,multiclass,0.98625,0.960928201675415,15.26694655418396,0.445711612701416,0.98625,0.9802896976470948,14.874663352966309,0.456040620803833,0.0,0.0,16.227874755859375,15.854953050613403,tie
mammography,binclass,0.9888243182834152,64.00229954719543,2.4443647861480717,63.92847323417664,0.9888243182834152,8.569268941879272,1.9700498580932615,8.494073390960693,0.0,0.0,66.4466643333435,10.539318799972534,tie
maternal_health_risk,multiclass,0.8719211822660099,5.698367357254028,0.4103937149047851,5.678333520889282,0.8719211822660099,0.7575373649597168,0.3650472164154053,0.7372498512268066,0.0,0.0,6.1087610721588135,1.122584581375122,tie
mfeat-factors,multiclass,0.9725,29.998629570007324,2.5408918857574463,29.62557363510132,0.9725,3.350348711013794,2.41127347946167,2.976361036300659,0.0,0.0,32.53952145576477,5.761622190475464,tie
mfeat-fourier,multiclass,0.895,14.792710781097412,1.1530840396881104,14.648015022277832,0.895,1.7182385921478271,1.064199924468994,1.5722434520721436,0.0,0.0,15.945794820785522,2.7824385166168213,tie
mice_protein_expression,multiclass,1.0,8.991166591644287,0.6761505603790283,8.879447221755981,1.0,1.155569314956665,0.6223299503326416,1.0448312759399414,0.0,0.0,9.667317152023315,1.7778992652893066,tie
one-hundred-plants-margin,multiclass,0.909375,0.8737130165100098,3.583303451538086,0.432544469833374,0.909375,0.9253978729248048,3.5663015842437744,0.4662797451019287,0.0,0.0,4.457016468048096,4.491699457168579,tie
one-hundred-plants-shape,multiclass,0.8,0.9368228912353516,3.5803284645080566,0.4157354831695556,0.8,0.8682639598846436,3.492074012756348,0.4272494316101074,0.0,0.0,4.517151355743408,4.360337972640991,tie
one-hundred-plants-texture,multiclass,0.91875,0.8452317714691162,3.5614559650421143,0.4151742458343506,0.91875,1.001190185546875,3.6098785400390634,0.4465861320495605,0.0,0.0,4.4066877365112305,4.611068725585938,tie
pc1,binclass,0.945945945945946,6.47655725479126,0.5683684349060059,6.433593034744263,0.945945945945946,0.8152246475219727,0.5016381740570068,0.7706327438354492,0.0,0.0,7.044925689697266,1.3168628215789795,tie
pc3,binclass,0.9009584664536742,8.778121948242188,0.5909194946289062,8.70700979232788,0.9009584664536742,1.0526599884033203,0.5101282596588135,0.9836986064910888,0.0,0.0,9.369041442871094,1.5627882480621338,tie
seismic+bumps,binclass,0.9342359767891684,12.244845390319824,0.6779382228851318,12.193509101867676,0.9342359767891684,1.4171733856201172,0.5519123077392578,1.3653285503387451,0.0,0.0,12.922783613204956,1.969085693359375,tie
semeion,multiclass,0.9592476489028212,28.9138605594635,2.5517117977142334,28.46503114700317,0.9592476489028212,3.382941961288452,2.4608170986175537,2.928918600082397,0.0,0.0,31.465572357177734,5.843759059906006,tie
statlog,binclass,0.735,5.915091037750244,0.4959836006164551,5.865663290023804,0.735,0.844275712966919,0.4722354412078857,0.7935006618499756,0.0,0.0,6.411074638366699,1.3165111541748047,tie
