dataset_name,accuracy_direction,ttt_accuracy,icl_accuracy,delta_accuracy,ttt_f1,icl_f1,delta_f1,ttt_balanced_accuracy,icl_balanced_accuracy,delta_balanced_accuracy,ttt_roc_auc,icl_roc_auc,delta_roc_auc,ttt_log_loss,icl_log_loss,delta_log_loss,info_total_samples,info_n_features,info_n_num_features,info_n_cat_features,info_n_classes,ttt_task_type,ttt_n_train,ttt_n_val,ttt_n_test,ttt_n_features,ttt_n_classes,icl_fit_seconds,ttt_fit_seconds,delta_fit_seconds,icl_predict_seconds,ttt_predict_seconds,delta_predict_seconds
Amazon_employee_access,up,0.9446139761977418,0.9441562404638388,0.0004577357339029531,0.930310019991134,0.9294777284745342,0.0008322915165998035,0.5817843675557882,0.5778265839146273,0.00395778364116095,0.8347434651170244,0.8343142512257914,0.00042921389123296017,0.1662933236846929,0.1663157519817883,-2.2428297095394845e-05,32769,7,0,7,2,binclass,26215,5243,6554,7,2,1.052586793899536,612.652628660202,611.6000418663025,13.000686407089232,24.87891268730164,11.878226280212408
BNG(tic-tac-toe),up,0.8152146304292609,0.8148336296672594,0.00038100076200153765,0.8130888916054947,0.8127924569695848,0.0002964346359098924,0.7859096138011621,0.7858749171640029,3.4696637159159494e-05,0.8831712982584852,0.8827866104146994,0.00038468784378575815,0.405528552316303,0.4067285411439342,-0.001199988827631171,39366,9,0,9,2,binclass,31492,6299,7874,9,2,0.7009820938110352,757.3690524101257,756.6680703163147,20.28054189682007,40.84342908859253,20.56288719177246
FOREX_cadjpy-hour-High,up,0.7162578436965202,0.7159155733029093,0.0003422703936108995,0.716237094612191,0.7158882806377188,0.000348813974472173,0.7158261987109249,0.7154630943663618,0.00036310434456310325,0.7899004233906136,0.7900355774485146,-0.000135154057900988,0.5539565337062107,0.5537973846450552,0.00015914906115543914,43825,10,10,0,2,binclass,35060,7012,8765,10,2,0.6437516212463379,763.2512171268463,762.6074655056,24.50076484680176,50.08178782463074,25.581022977828976
MagicTelescope,up,0.8943217665615142,0.8940588853838065,0.0002628811777076745,0.8928632735921345,0.8925848685388427,0.000278405053291797,0.8721682141701126,0.8717945220923846,0.00037369207772797175,0.9469811862859554,0.9469727001722682,8.486113687200536e-06,0.2635283442004189,0.2635466749027036,-1.8330702284741207e-05,19020,9,9,0,2,binclass,15216,3044,3804,9,2,0.4481167793273926,393.5977876186371,393.1496708393097,6.50507116317749,11.776468515396118,5.271397352218628
BNG(cmc),up,0.5876130198915009,0.5874321880650994,0.0001808318264014952,0.5863973804291363,0.5861486167429909,0.00024876368614534794,0.5695022144018181,0.5695522496274562,-5.0035225638067615e-05,0.7646141815548501,0.7647013047461507,-8.712319130066426e-05,0.875189190152952,0.8750451390694162,0.0001440510835358788,55296,9,2,7,3,multiclass,44236,8848,11060,9,3,0.800889253616333,1090.6153709888458,1089.8144817352295,35.66437745094299,77.29545331001282,41.631075859069824
BLE_RSSI_dataset_for_Indoor_localization,tie,0.7336004006009014,0.7336004006009014,0.0,0.7330939074782732,0.7330988191192322,-4.9116409590599375e-06,0.7326163567434275,0.7326163567434275,0.0,0.902818518321014,0.9027895681284224,2.8950192591636892e-05,0.5858824810446973,0.5860072345642322,-0.00012475351953489255,9984,3,3,0,3,multiclass,7987,1598,1997,3,3,0.6405093669891357,134.11887955665588,133.47837018966675,1.4669442176818848,2.203818798065185,0.7368745803833003
BNG(breast-w),tie,0.9880619761239524,0.9880619761239524,0.0,0.9880774596607574,0.9880774596607574,0.0,0.9880918254272,0.9880918254272,0.0,0.9990917657501776,0.9990907651773496,1.0005728279249837e-06,0.0343117793715498,0.0343236415690793,-1.1862197529501073e-05,39366,9,9,0,2,binclass,31492,6299,7874,9,2,0.646003007888794,670.4671075344086,669.8211045265198,20.24165940284729,40.85415768623352,20.61249828338623
Customer_Personality_Analysis,tie,0.890625,0.890625,0.0,0.8819285508425728,0.8819285508425728,0.0,0.7204332667371802,0.7204332667371802,0.0,0.913209542836996,0.9132487170446978,-3.917420770183089e-05,0.2436454730991126,0.2436533436666687,-7.870567556078623e-06,2240,24,22,2,2,binclass,1792,359,448,24,2,0.4072599411010742,29.182388305664062,28.77512836456299,0.8469393253326416,1.099330186843872,0.25239086151123047
Diabetic_Retinopathy_Debrecen,tie,0.7402597402597403,0.7402597402597403,0.0,0.739887282528792,0.739887282528792,0.0,0.7380307136404698,0.7380307136404698,0.0,0.838452273411623,0.838452273411623,0.0,0.488286370752477,0.4882865503768324,-1.7962435538976251e-07,1151,19,16,3,2,binclass,920,184,231,19,2,0.4087758064270019,13.417666912078856,13.008891105651854,1.020010232925415,1.6180219650268557,0.5980117321014407
FICO-HELOC-cleaned,tie,0.7549367088607595,0.7549367088607595,0.0,0.7546711509554379,0.7546711509554379,0.0,0.7537749764770173,0.7537749764770173,0.0,0.8264137415306991,0.8263690581356651,4.468339503405083e-05,0.5123393688624764,0.5123915568377126,-5.218797523620644e-05,9871,23,21,2,2,binclass,7896,1580,1975,23,2,0.4967978000640869,186.16689610481265,185.67009830474856,3.7380025386810303,5.830348253250122,2.092345714569092
