dataset_name,status_old,status_new,accuracy_old,accuracy_new,accuracy_diff,f1_old,f1_new,n_train_old,n_val_old,n_test_old,n_features_old,n_classes_old
electricity,ok,ok,0.9261833829857664,0.9261833829857664,0.0,0.92438416775308,0.9261434862245264,36249,7250,9063,8,2
estimation_of_obesity_levels,ok,ok,0.9905437352245864,0.9905437352245864,0.0,0.9904180547069455,0.9905622153790828,1688,338,423,16,7
eye_movements,ok,ok,0.8354661791590493,0.8354661791590493,0.0,0.8419729784537661,0.8350004444767234,8748,1750,2188,27,3
eye_movements_bin,ok,ok,0.6550591327201051,0.6550591327201051,0.0,0.655041114022284,0.655041114022284,6086,1218,1522,20,2
first-order-theorem-proving,ok,ok,0.6511437908496732,0.6511437908496732,0.0,0.5417905155158363,0.6339349352347329,4894,979,1224,51,6
gas-drift,ok,ok,0.9971243709561468,0.9971243709561468,0.0,0.9971838845325356,0.9971239510816552,11128,2226,2782,128,6
gina_agnostic,ok,ok,0.9740634005763688,0.9740634005763688,0.0,0.97406146179402,0.9740653393587178,2774,555,694,970,2
golf_play_dataset_extended,ok,ok,0.9452054794520548,0.9452054794520548,0.0,0.9174415682332244,0.9452054794520548,876,176,219,9,2
heloc,ok,ok,0.733,0.733,0.0,0.732653518960573,0.732653518960573,8000,1600,2000,22,2
hill-valley,ok,ok,0.97119341563786,0.97119341563786,0.0,0.9711621598711536,0.971166066841992,969,194,243,100,2
house_16H,ok,ok,0.8917716827279466,0.8917716827279466,0.0,0.8917695416715894,0.8917695416715894,10790,2158,2698,16,2
htru,ok,ok,0.9807262569832402,0.9807262569832402,0.0,0.941216155919256,0.9805781782399,14318,2864,3580,8,2
ibm-employee-performance,ok,ok,1.0,1.0,0.0,1.0,1.0,1176,236,294,30,2
in_vehicle_coupon_recommendation,ok,ok,0.7871501773748522,0.7871501773748522,0.0,0.7805801992681203,0.7857733254709358,10147,2030,2537,21,2
internet_firewall,ok,ok,0.925154497596704,0.925154497596704,0.0,0.8177139300327189,0.9238050723969986,52425,10485,13107,7,4
