dataset_name,group,winner,task_type_iclv2_ensmble32,n_train_iclv2_ensmble32,n_val_iclv2_ensmble32,n_test_compare,n_features_iclv2_ensmble32,n_classes_iclv2_ensmble32,acc_iclv2_ensmble32,acc_ttt_step8,delta_ttt_minus_iclv2,delta_pp,delta_correct_est,fit_seconds_iclv2_ensmble32,predict_seconds_iclv2_ensmble32,total_seconds_iclv2_ensmble32,fit_seconds_ttt_step8,predict_seconds_ttt_step8,ttt_update_seconds,total_seconds_ttt_step8,ttt_applied,ttt_steps,ttt_lr,ttt_loss,ttt_split_strategy,ttt_split_reason,ttt_execution_group,change_strength,dataset_dir_iclv2_ensmble32,dataset_dir_ttt_step8
taiwanese_bankruptcy_prediction,TTT step8更高,ttt_step8,binclass,5455,1091,1364,95,2,0.9714076246334312,0.9736070381231672,0.0021994134897359574,0.21994134897359574,2.999999999999846,0.7496538162231445,5.840881109237671,6.590534925460815,63.42918682098389,6.195286273956299,63.007925033569336,69.62447309494019,True,8,5e-06,0.0796651623677462,stratified,stratified split,TTT执行,medium_gain_0.2-1pp,/home/crc00006699/zh/tabiclv2/data178/taiwanese_bankruptcy_prediction,/home/crc00006699/zh/tabiclv2/data178/taiwanese_bankruptcy_prediction
FOREX_audusd-hour-High,TTT step8更高,ttt_step8,binclass,35060,7012,8765,10,2,0.7070165430690245,0.7091842555618939,0.0021677124928694003,0.21677124928694003,19.000000000000295,0.6565964221954346,24.464357137680057,25.120953559875492,1047.7190120220184,25.39526891708374,1047.386146068573,1073.1142809391022,True,8,5e-06,0.5579434484243393,stratified,stratified split,TTT执行,medium_gain_0.2-1pp,/home/crc00006699/zh/tabiclv2/data178/FOREX_audusd-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audusd-hour-High
twonorm,TTT step8更高,ttt_step8,binclass,5920,1184,1480,20,2,0.9777027027027028,0.9797297297297296,0.00202702702702684,0.20270270270268398,2.999999999999723,0.4341874122619629,2.417443990707397,2.85163140296936,48.034201860427856,2.6384708881378174,47.92352628707886,50.672672748565674,True,8,5e-06,0.0513378463219851,stratified,stratified split,TTT执行,medium_gain_0.2-1pp,/home/crc00006699/zh/tabiclv2/data178/twonorm,/home/crc00006699/zh/tabiclv2/data178/twonorm
eeg-eye-state,TTT step8更高,ttt_step8,binclass,11984,2397,2996,14,2,0.9939919893190922,0.9959946595460614,0.0020026702269692054,0.20026702269692054,5.999999999999739,0.4930174350738525,5.140817642211914,5.633835077285767,144.5950310230255,5.572701454162598,144.43669724464417,150.1677324771881,True,8,5e-06,0.0160194360068999,stratified,stratified split,TTT执行,medium_gain_0.2-1pp,/home/crc00006699/zh/tabiclv2/data178/eeg-eye-state,/home/crc00006699/zh/tabiclv2/data178/eeg-eye-state
ozone-level-8hr,TTT step8更高,ttt_step8,binclass,2027,406,507,72,2,0.9546351084812624,0.9566074950690336,0.0019723865877712132,0.19723865877712132,1.000000000000005,0.5123915672302246,1.6957104206085205,2.208101987838745,19.75806975364685,1.7846481800079346,19.598905324935917,21.542717933654785,True,8,5e-06,0.1323549780063331,stratified,stratified split,TTT执行,weak_gain_<0.2pp,/home/crc00006699/zh/tabiclv2/data178/ozone-level-8hr,/home/crc00006699/zh/tabiclv2/data178/ozone-level-8hr
in_vehicle_coupon_recommendation,TTT step8更高,ttt_step8,binclass,10147,2030,2537,21,2,0.7871501773748522,0.7891210090658258,0.0019708316909736734,0.19708316909736734,5.00000000000021,0.609067440032959,4.675953149795532,5.285020589828491,110.99986433982848,4.927988767623901,110.74448490142822,115.92785310745238,True,8,5e-06,0.485167883336544,stratified,stratified split,TTT执行,weak_gain_<0.2pp,/home/crc00006699/zh/tabiclv2/data178/in_vehicle_coupon_recommendation,/home/crc00006699/zh/tabiclv2/data178/in_vehicle_coupon_recommendation
artificial-characters,TTT step8更高,ttt_step8,multiclass,8174,1635,2044,7,10,0.9408023483365948,0.9427592954990216,0.001956947162426781,0.1956947162426781,4.00000000000034,0.3948564529418945,2.697080373764038,3.0919368267059326,74.50826692581177,3.038515090942383,74.43330430984497,77.54678201675415,True,8,5e-06,0.2676048101857304,stratified,stratified split,TTT执行,weak_gain_<0.2pp,/home/crc00006699/zh/tabiclv2/data178/artificial-characters,/home/crc00006699/zh/tabiclv2/data178/artificial-characters
sylvine,TTT step8更高,ttt_step8,binclass,4099,820,1025,20,2,0.977560975609756,0.9795121951219512,0.0019512195121952347,0.19512195121952347,2.0000000000001155,0.4425466060638428,1.6189634799957275,2.0615100860595703,29.446443557739254,1.786595582962036,29.356756448745728,31.23303914070129,True,8,5e-06,0.0708934958092868,stratified,stratified split,TTT执行,weak_gain_<0.2pp,/home/crc00006699/zh/tabiclv2/data178/sylvine,/home/crc00006699/zh/tabiclv2/data178/sylvine
online_shoppers,TTT step8更高,ttt_step8,binclass,9864,1973,2466,14,2,0.9059205190592052,0.9075425790754258,0.0016220600162205612,0.16220600162205612,3.999999999999904,0.4763751029968261,3.955548524856568,4.4319236278533936,104.59996604919434,4.26445746421814,104.44581627845764,108.86442351341248,True,8,5e-06,0.2135064182803034,stratified,stratified split,TTT执行,weak_gain_<0.2pp,/home/crc00006699/zh/tabiclv2/data178/online_shoppers,/home/crc00006699/zh/tabiclv2/data178/online_shoppers
MagicTelescope,TTT step8更高,ttt_step8,binclass,15216,3044,3804,9,2,0.8940588853838065,0.8956361724500526,0.001577287066246047,0.1577287066246047,5.999999999999963,0.4549262523651123,6.601260185241699,7.0561864376068115,218.03967761993408,7.120958089828491,217.9005048274994,225.16063570976257,True,8,5e-06,0.2685267068445682,stratified,stratified split,TTT执行,weak_gain_<0.2pp,/home/crc00006699/zh/tabiclv2/data178/MagicTelescope,/home/crc00006699/zh/tabiclv2/data178/MagicTelescope
