dataset_name,dataset_dir,method,context_length,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,fit_seconds,predict_seconds,status,error,n_train_b,n_holdout_c,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_step_losses
FOREX_audcad-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audcad-hour-High,ttt,10,binclass,35060,7012,8765,10,2,0.496406160867085,199.0654058456421,2.25796890258789,ok,,26295,8765,0.5476121306419373,20,1e-05,True,199.02981090545651,stratified,stratified split,"[0.5927610993385315, 0.5927448272705078, 0.6276426911354065, 0.567925214767456, 0.5813863277435303, 0.5793135762214661, 0.56001216173172, 0.5599855780601501, 0.5623691082000732, 0.5569534301757812, 0.5500947833061218, 0.5528067946434021, 0.5519391298294067, 0.5485973358154297, 0.5518753528594971, 0.5543060302734375, 0.5497480034828186, 0.5487579703330994, 0.5498080849647522, 0.5476121306419373]"
FOREX_audchf-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audchf-day-High,baseline,10,binclass,1466,294,367,10,2,0.5122615803814714,0.358877420425415,0.1247732639312744,ok,,0,0,,0,,False,0.0,,,
FOREX_audchf-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audchf-day-High,ttt,10,binclass,1466,294,367,10,2,0.5258855585831063,1.9663262367248533,0.1250765323638916,ok,,1099,367,0.379627913236618,20,1e-05,True,1.939617395401001,stratified,stratified split,"[0.5953503251075745, 0.5799736976623535, 0.5561917424201965, 0.5441305637359619, 0.5314833521842957, 0.51900315284729, 0.5091344118118286, 0.49830108880996704, 0.4874332845211029, 0.47772350907325745, 0.4663536548614502, 0.4555315375328064, 0.44348207116127014, 0.43203479051589966, 0.42247122526168823, 0.4156799614429474, 0.40945810079574585, 0.3992252051830292, 0.3881053924560547, 0.37962791323661804]"
FOREX_audjpy-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audjpy-day-High,baseline,10,binclass,1465,293,367,10,2,0.5122615803814714,0.3324263095855713,0.125673770904541,ok,,0,0,,0,,False,0.0,,,
FOREX_audjpy-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audjpy-day-High,ttt,10,binclass,1465,293,367,10,2,0.5013623978201635,1.8646020889282229,0.1249916553497314,ok,,1098,367,0.6910328269004822,20,1e-05,True,1.841491460800171,stratified,stratified split,"[0.6928068399429321, 0.6930747032165527, 0.6926231384277344, 0.6925355792045593, 0.6916686296463013, 0.7079411149024963, 0.6917942762374878, 0.6918215155601501, 0.6922247409820557, 0.6922006011009216, 0.6922804713249207, 0.692330539226532, 0.6921517252922058, 0.6921156644821167, 0.6919624209403992, 0.6918661594390869, 0.6916425824165344, 0.6915541887283325, 0.6912051439285278, 0.6910328269004822]"
FOREX_audjpy-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audjpy-hour-High,baseline,10,binclass,35060,7012,8765,10,2,0.5011979463776384,0.3343904018402099,2.1905574798583984,ok,,0,0,,0,,False,0.0,,,
FOREX_audjpy-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audjpy-hour-High,ttt,10,binclass,35060,7012,8765,10,2,0.5016543069024529,198.33863639831543,2.2583112716674805,ok,,26295,8765,0.6908426880836487,20,1e-05,True,198.30272340774536,stratified,stratified split,"[0.6916711330413818, 0.6910136342048645, 0.6913444399833679, 0.6909242272377014, 0.6910205483436584, 0.6909046173095703, 0.6910499334335327, 0.6909623146057129, 0.690906286239624, 0.6908701658248901, 0.6908915042877197, 0.6908503770828247, 0.6908953785896301, 0.6908672451972961, 0.690863311290741, 0.6908702850341797, 0.6908400058746338, 0.6908644437789917, 0.6908472180366516, 0.6908426880836487]"
FOREX_audsgd-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audsgd-hour-High,baseline,10,binclass,35060,7012,8765,10,2,0.4889903023388477,0.3528494834899902,2.1922144889831543,ok,,0,0,,0,,False,0.0,,,
FOREX_audsgd-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audsgd-hour-High,ttt,10,binclass,35060,7012,8765,10,2,0.489218482601255,199.3860814571381,2.256115198135376,ok,,26295,8765,0.5646156072616577,20,1e-05,True,199.34866619110107,stratified,stratified split,"[0.6306459903717041, 0.7832408547401428, 0.6208926439285278, 0.5951256155967712, 0.594561755657196, 0.5843185186386108, 0.5899026989936829, 0.5868710279464722, 0.5743335485458374, 0.5841983556747437, 0.5840701460838318, 0.572924792766571, 0.5715641975402832, 0.5760223269462585, 0.5678508877754211, 0.5668749809265137, 0.5671653151512146, 0.5619961619377136, 0.5639880895614624, 0.5646156072616577]"
FOREX_audusd-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audusd-hour-High,baseline,10,binclass,35060,7012,8765,10,2,0.506217912150599,0.3539040088653564,2.1936213970184326,ok,,0,0,,0,,False,0.0,,,
