dataset_name,compare_result,accuracy_ttt,accuracy_baseline,delta_accuracy,delta_pp,n_features_data178,n_total_data178,train_size_data178,val_size_data178,test_size_data178,n_num_features_data178,n_cat_features_data178,n_classes,task_type,ttt_applied,ttt_steps,ttt_oom_fallback
thyroid-ann,improved,0.9920529801324504,0.9894039735099338,0.0026490066225165476,0.26490066225165476,21,3772,2413,604,755,21,0,3.0,multiclass,True,8,False
telco-customer-churn,improved,0.8069552874378992,0.8041163946061036,0.002838892831795614,0.2838892831795614,18,7043,4507,1127,1409,3,15,2.0,binclass,True,8,False
Telecom_Churn_Dataset,improved,0.970014992503748,0.967016491754123,0.0029985007496250438,0.2998500749625044,17,3333,2132,534,667,14,3,,binclass,True,8,False
delta_ailerons,improved,0.9523141654978962,0.9488078541374474,0.003506311360448766,0.3506311360448766,5,7129,4562,1141,1426,5,0,2.0,binclass,True,8,False
Indian_pines,improved,0.974302897758338,0.9704756697648989,0.003827227993439153,0.3827227993439153,220,9144,5852,1463,1829,220,0,8.0,multiclass,True,8,False
waveform_database_generator_version_1,improved,0.877,0.872,0.0050000000000000044,0.5000000000000004,21,5000,3200,800,1000,21,0,,multiclass,True,8,False
spambase,improved,0.9619978284473398,0.9565689467969598,0.005428881650380024,0.5428881650380024,57,4601,2944,736,921,57,0,2.0,binclass,True,8,False
house_16H,improved,0.8928836174944403,0.8873239436619719,0.00555967383246847,0.555967383246847,16,13488,8632,2158,2698,16,0,2.0,binclass,True,8,False
predict_students_dropout_and_academic_success,improved,0.7819209039548023,0.7762711864406779,0.005649717514124353,0.5649717514124353,34,4424,2831,708,885,5,29,,multiclass,True,8,False
gina_agnostic,improved,0.9639769452449568,0.95821325648415,0.0057636887608067955,0.5763688760806795,970,3468,2219,555,694,970,0,,binclass,True,8,False
one-hundred-plants-margin,improved,0.896875,0.890625,0.006249999999999978,0.6249999999999978,64,1600,1024,256,320,64,0,100.0,multiclass,False,0,False
Fitness_Club_c,improved,0.8033333333333333,0.7966666666666666,0.00666666666666671,0.666666666666671,6,1500,960,240,300,3,3,,binclass,True,8,False
IBM_HR_Analytics_Employee_Attrition_and_Performance,improved,0.8775510204081632,0.8707482993197279,0.006802721088435382,0.6802721088435382,31,1470,940,236,294,25,6,,binclass,True,8,False
eye_movements,improved,0.8610603290676416,0.853290676416819,0.007769652650822634,0.7769652650822634,27,10936,6998,1750,2188,24,3,3.0,multiclass,True,8,False
FOREX_audchf-day-High,improved,0.7656675749318801,0.7574931880108992,0.008174386920980936,0.8174386920980936,10,1833,1172,294,367,10,0,2.0,binclass,True,8,False
FOREX_audjpy-day-High,improved,0.782016348773842,0.773841961852861,0.008174386920980936,0.8174386920980936,10,1832,1172,293,367,10,0,2.0,binclass,True,8,False
QSAR_biodegradation,improved,0.8862559241706162,0.8767772511848341,0.009478672985782088,0.9478672985782088,41,1054,674,169,211,41,0,,binclass,True,8,False
mfeat-zernike,improved,0.8475,0.8375,0.010000000000000009,1.0000000000000009,47,2000,1280,320,400,47,0,10.0,multiclass,True,8,False
ASP-POTASSCO-classification,improved,0.4555984555984556,0.444015444015444,0.01158301158301156,1.158301158301156,141,1294,828,207,259,140,1,11.0,multiclass,False,0,False
volkert,improved,0.7605899502658207,0.7485851483450523,0.01200480192076836,1.200480192076836,180,58310,37318,9330,11662,180,0,10.0,multiclass,False,0,True
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,improved,0.690625,0.678125,0.012500000000000067,1.2500000000000067,20,1600,1024,256,320,0,20,2.0,binclass,True,8,False
Pima_Indians_Diabetes_Database,improved,0.7597402597402597,0.7467532467532467,0.012987012987012991,1.2987012987012991,8,768,491,123,154,8,0,,binclass,True,8,False
FOREX_audcad-day-High,improved,0.7547683923705722,0.7411444141689373,0.013623978201634968,1.3623978201634968,10,1834,1173,294,367,10,0,2.0,binclass,True,8,False
PieChart3,improved,0.875,0.8611111111111112,0.01388888888888884,1.388888888888884,37,1077,688,173,216,37,0,2.0,binclass,True,8,False
Basketball_c,improved,0.7164179104477612,0.6977611940298507,0.018656716417910446,1.8656716417910446,11,1340,857,215,268,11,0,,binclass,True,8,False
jungle_chess_2pcs_raw_endgame_complete,improved,0.9876171352074966,0.9601740294511378,0.027443105756358777,2.7443105756358777,6,44819,28684,7171,8964,6,0,3.0,multiclass,True,16,False
BLE_RSSI_dataset_for_Indoor_localization,improved,0.7606409614421632,0.7325988983475212,0.028042063094641967,2.8042063094641967,3,9984,6389,1598,1997,3,0,,multiclass,True,8,False
eye_movements_bin,improved,0.7063074901445466,0.6662286465177398,0.040078843626806804,4.007884362680681,20,7608,4868,1218,1522,20,0,2.0,binclass,True,8,False
allrep,tie,0.9827814569536424,0.9827814569536424,0.0,0.0,29,3772,2413,604,755,6,23,4.0,multiclass,True,8,False
drug_consumption,tie,0.403183023872679,0.403183023872679,0.0,0.0,12,1884,1205,302,377,12,0,,multiclass,True,8,False
ibm-employee-performance,tie,1.0,1.0,0.0,0.0,30,1470,940,236,294,23,7,2.0,binclass,True,8,False
national-longitudinal-survey-binary,tie,1.0,1.0,0.0,0.0,16,4908,3140,786,982,9,7,2.0,binclass,True,8,False
texture,tie,1.0,1.0,0.0,0.0,40,5500,3520,880,1100,40,0,11.0,multiclass,False,0,False
analcatdata_authorship,tie,0.9881656804733728,0.9881656804733728,0.0,0.0,69,841,537,135,169,69,0,4.0,multiclass,True,8,False
baseball,tie,0.9440298507462688,0.9440298507462688,0.0,0.0,16,1340,857,215,268,15,1,3.0,multiclass,True,8,False
contraceptive_method_choice,tie,0.6237288135593221,0.6237288135593221,0.0,0.0,9,1473,942,236,295,5,4,,multiclass,True,8,False
mfeat-factors,tie,0.9775,0.9775,0.0,0.0,216,2000,1280,320,400,216,0,10.0,multiclass,True,8,False
mice_protein_expression,tie,1.0,1.0,0.0,0.0,75,1080,691,173,216,75,0,,multiclass,True,8,False
one-hundred-plants-texture,tie,0.921875,0.921875,0.0,0.0,64,1599,1023,256,320,64,0,100.0,multiclass,False,0,False
pc3,tie,0.8913738019169329,0.8913738019169329,0.0,0.0,37,1563,1000,250,313,37,0,2.0,binclass,True,8,False
qsar,tie,0.909952606635071,0.909952606635071,0.0,0.0,40,1055,675,169,211,30,10,2.0,binclass,True,8,False
seismic+bumps,tie,0.9342359767891684,0.9342359767891684,0.0,0.0,18,2584,1653,414,517,14,4,,binclass,True,8,False
statlog,tie,0.735,0.735,0.0,0.0,20,1000,640,160,200,7,13,,binclass,True,8,False
E-CommereShippingData,tie,0.6772727272727272,0.6772727272727272,0.0,0.0,10,10999,7039,1760,2200,6,4,,binclass,True,8,False
abalone,tie,0.6423444976076556,0.6423444976076556,0.0,0.0,8,4177,2672,669,836,7,1,3.0,multiclass,True,8,False
mfeat-fourier,tie,0.9225,0.9225,0.0,0.0,76,2000,1280,320,400,76,0,10.0,multiclass,True,8,False
page-blocks,tie,0.9799086757990868,0.9799086757990868,0.0,0.0,10,5473,3502,876,1095,10,0,5.0,multiclass,True,8,False
semeion,tie,0.9592476489028212,0.9592476489028212,0.0,0.0,256,1593,1019,255,319,256,0,10.0,multiclass,True,8,False
website_phishing,tie,0.922509225092251,0.922509225092251,0.0,0.0,9,1353,865,217,271,0,9,,multiclass,True,8,False
