dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,roc_auc,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_baseline_accuracy,ttt_val_best_roc_auc,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason
thyroid-dis,/home/crc00006699/zh/tabiclv2/data178/thyroid-dis,multiclass,2240,448,560,26,5,0.6857142857142857,0.6636707717569788,0.8789630568222885,10.30905532836914,3.142850875854492,ok,,2240,1792,0,560,,8,1e-05,True,10.308618068695068,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
vehicle,/home/crc00006699/zh/tabiclv2/data178/vehicle,multiclass,676,136,170,18,4,0.8764705882352941,0.874646619160595,0.9736356308621934,7.966744899749756,1.8008835315704346,ok,,676,540,0,170,,8,1e-05,True,7.966418027877808,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
wall-robot-navigation,/home/crc00006699/zh/tabiclv2/data178/wall-robot-navigation,multiclass,4364,873,1092,24,4,0.9862637362637364,0.9862613011486168,0.9997836076777256,10.402605056762695,3.428066730499268,ok,,4364,3491,0,1092,,8,1e-05,True,10.40224575996399,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
waveform_database_generator,/home/crc00006699/zh/tabiclv2/data178/waveform_database_generator,multiclass,3999,800,1000,21,3,0.325,0.2042431984425623,0.5021657113480095,9.870037317276,3.0925216674804688,ok,,3999,3199,0,1000,,8,1e-05,True,9.869615316390991,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
wine,/home/crc00006699/zh/tabiclv2/data178/wine,binclass,2043,409,511,4,2,0.761252446183953,0.7602222854522677,0.8670955882352942,8.036089420318604,2.1743204593658447,ok,,2043,1634,0,511,,8,1e-05,True,8.035719394683838,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
yeast,/home/crc00006699/zh/tabiclv2/data178/yeast,multiclass,1187,238,297,8,10,0.6195286195286195,0.6132129672851486,0.8839451844028545,8.116345167160034,1.7747185230255127,ok,,1187,949,0,297,,8,1e-05,True,8.115990400314331,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data178/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9429356118400976,0.9182030851609384,0.8287718586093812,56.48884153366089,20.66211462020874,ok,,26215,20972,0,6554,,16,1e-05,True,52.99525165557861,tabpfn_finetune_epoch_chunks,dataset_val_split,8,2,tabpfn_finetuning_api,,,0,False,False,
BNG(cmc),/home/crc00006699/zh/tabiclv2/data178/BNG(cmc),multiclass,44236,8848,11060,9,3,0.58625678119349,0.5846341059696177,0.7659309647710831,89.4264166355133,51.61746692657471,ok,,44236,35388,0,11060,,16,1e-05,True,89.42591834068298,tabpfn_finetune_epoch_chunks,dataset_val_split,8,2,tabpfn_finetuning_api,,,0,False,False,
Basketball_c,/home/crc00006699/zh/tabiclv2/data178/Basketball_c,binclass,1072,215,268,11,2,0.7164179104477612,0.7139667807421477,0.73789274746043,8.412594318389893,1.8144607543945312,ok,,1072,857,0,268,,8,1e-05,True,8.412137269973755,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
Click_prediction_small,/home/crc00006699/zh/tabiclv2/data178/Click_prediction_small,binclass,31958,6392,7990,3,2,0.8330413016270338,0.7600404861157708,0.6253803049238138,49.409658670425415,28.42896151542664,ok,,31958,25566,0,7990,,16,1e-05,True,49.40935707092285,tabpfn_finetune_epoch_chunks,dataset_val_split,8,2,tabpfn_finetuning_api,,,0,False,False,
Diabetic_Retinopathy_Debrecen,/home/crc00006699/zh/tabiclv2/data178/Diabetic_Retinopathy_Debrecen,binclass,920,184,231,19,2,0.7272727272727273,0.7275287563303185,0.8218157181571816,8.493347406387329,1.8842878341674805,ok,,920,736,0,231,,8,1e-05,True,8.492939233779907,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
FICO-HELOC-cleaned,/home/crc00006699/zh/tabiclv2/data178/FICO-HELOC-cleaned,binclass,7896,1580,1975,23,2,0.7458227848101265,0.7457063714751958,0.8224035352269505,16.74549674987793,6.04597544670105,ok,,7896,6316,0,1975,,8,1e-05,True,16.74513530731201,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
FOREX_audchf-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audchf-day-High,binclass,1466,294,367,10,2,0.7656675749318801,0.763067169998338,0.8310758628883741,8.2537841796875,1.7997045516967771,ok,,1466,1172,0,367,,8,1e-05,True,8.253190994262695,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
FOREX_audsgd-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audsgd-hour-High,binclass,35060,7012,8765,10,2,0.5354249857387336,0.4101220905939585,0.7089367872156992,59.2017924785614,34.904067039489746,ok,,35060,28048,0,8765,,16,1e-05,True,59.20148754119873,tabpfn_finetune_epoch_chunks,dataset_val_split,8,2,tabpfn_finetuning_api,,,0,False,False,
FOREX_cadjpy-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_cadjpy-hour-High,binclass,35060,7012,8765,10,2,0.619281232173417,0.6185088760676499,0.6750220547441446,60.09971356391907,34.971078634262085,ok,,35060,28048,0,8765,,16,1e-05,True,60.09922528266907,tabpfn_finetune_epoch_chunks,dataset_val_split,8,2,tabpfn_finetuning_api,,,0,False,False,
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,/home/crc00006699/zh/tabiclv2/data178/GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,binclass,1280,256,320,20,2,0.675,0.6698412698412699,0.7464453124999999,11.051841259002686,1.8689305782318115,ok,,1280,1024,0,320,,8,1e-05,True,11.051501035690308,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
GesturePhaseSegmentationProcessed,/home/crc00006699/zh/tabiclv2/data178/GesturePhaseSegmentationProcessed,multiclass,7898,1580,1975,32,5,0.8141772151898734,0.813027005351843,0.9594557036720696,16.506296157836914,6.597085952758789,ok,,7898,6318,0,1975,,8,1e-05,True,16.50596594810486,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
