dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,fit_seconds,predict_seconds,status,error,causal_shuffle_n_features,causal_shuffle_feature_indices,causal_selector_seconds,causal_selector_status,causal_graph_png,causal_graph_json
one-hundred-plants-shape,/home/crc00006699/zh/tabiclv2/data178/one-hundred-plants-shape,multiclass,1280,256,320,64,100,0.7875,0.4475598335266113,3.4974584579467773,ok,,3,"31,32,33",0.0209810733795166,ok selected=3 candidates=64 samples=1280,baseline/iclv1.1_casual_ensmble32/causal_graphs/one-hundred-plants-shape.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/one-hundred-plants-shape.json
optdigits,/home/crc00006699/zh/tabiclv2/data178/optdigits,multiclass,4496,900,1124,64,10,0.9955516014234876,1.1662530899047852,2.509796380996704,ok,,16,"5,12,14,25,27,28,29,33,35,37,51,52,53,60,62,63",0.6188144683837891,ok selected=16 candidates=64 samples=4496,baseline/iclv1.1_casual_ensmble32/causal_graphs/optdigits.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/optdigits.json
pc1,/home/crc00006699/zh/tabiclv2/data178/pc1,binclass,887,178,222,21,2,0.9414414414414416,0.3678340911865234,0.2607169151306152,ok,,3,"13,14,17",0.0157439708709716,ok selected=3 candidates=21 samples=887,baseline/iclv1.1_casual_ensmble32/causal_graphs/pc1.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/pc1.json
pendigits,/home/crc00006699/zh/tabiclv2/data178/pendigits,multiclass,8793,1759,2199,16,10,0.9968167348794906,0.5822386741638184,3.102745771408081,ok,,7,"0,1,2,5,8,12,13",0.150247573852539,ok selected=7 candidates=16 samples=5000,baseline/iclv1.1_casual_ensmble32/causal_graphs/pendigits.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/pendigits.json
predict_students_dropout_and_academic_success,/home/crc00006699/zh/tabiclv2/data178/predict_students_dropout_and_academic_success,multiclass,3539,708,885,34,3,0.7536723163841808,0.8006083965301514,1.481102466583252,ok,,11,"1,13,14,15,16,17,21,26,27,28,30",0.3427243232727051,ok selected=11 candidates=34 samples=3539,baseline/iclv1.1_casual_ensmble32/causal_graphs/predict_students_dropout_and_academic_success.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/predict_students_dropout_and_academic_success.json
ringnorm,/home/crc00006699/zh/tabiclv2/data178/ringnorm,binclass,5920,1184,1480,20,2,0.9797297297297296,1.0626819133758545,2.0353031158447266,ok,,9,"2,4,5,7,8,9,13,17,18",0.6479771137237549,ok selected=9 candidates=20 samples=5000,baseline/iclv1.1_casual_ensmble32/causal_graphs/ringnorm.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/ringnorm.json
segment,/home/crc00006699/zh/tabiclv2/data178/segment,multiclass,1848,370,462,17,7,0.9329004329004328,0.377795934677124,0.5909078121185303,ok,,5,"1,3,9,11,12",0.0247027873992919,ok selected=5 candidates=17 samples=1848,baseline/iclv1.1_casual_ensmble32/causal_graphs/segment.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/segment.json
shuttle,/home/crc00006699/zh/tabiclv2/data178/shuttle,multiclass,46400,9280,11600,9,7,0.999396551724138,0.6851334571838379,37.26412749290466,ok,,5,"0,2,4,6,7",0.0332682132720947,ok selected=5 candidates=9 samples=5000,baseline/iclv1.1_casual_ensmble32/causal_graphs/shuttle.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/shuttle.json
sports_articles_for_objectivity_analysis,/home/crc00006699/zh/tabiclv2/data178/sports_articles_for_objectivity_analysis,binclass,800,160,200,59,2,0.845,0.5651698112487793,0.8975691795349121,ok,,8,"7,14,23,30,35,42,43,53",0.1261470317840576,ok selected=8 candidates=59 samples=800,baseline/iclv1.1_casual_ensmble32/causal_graphs/sports_articles_for_objectivity_analysis.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/sports_articles_for_objectivity_analysis.json
sylvine,/home/crc00006699/zh/tabiclv2/data178/sylvine,binclass,4099,820,1025,20,2,0.9619512195121952,0.4168589115142822,0.6585359573364258,ok,,4,"6,8,9,19",0.0169272422790527,ok selected=4 candidates=20 samples=4099,baseline/iclv1.1_casual_ensmble32/causal_graphs/sylvine.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/sylvine.json
