dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,fit_seconds,predict_seconds,status,error,causal_shuffle_n_features,causal_shuffle_feature_indices,causal_selector_seconds,causal_selector_status,causal_graph_png,causal_graph_json
in_vehicle_coupon_recommendation,/home/crc00006699/zh/tabiclv2/data178/in_vehicle_coupon_recommendation,binclass,10147,2030,2537,21,2,0.7875443437130469,0.8165726661682129,3.998108148574829,ok,,10,"0,2,3,4,7,8,11,12,15,18",0.2378556728363037,ok selected=10 candidates=21 samples=5000,baseline/iclv1.1_casual_ensmble32/causal_graphs/in_vehicle_coupon_recommendation.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/in_vehicle_coupon_recommendation.json
jm1,/home/crc00006699/zh/tabiclv2/data178/jm1,binclass,8708,1742,2177,21,2,0.8226917776757005,0.5300173759460449,2.216367244720459,ok,,5,"0,6,9,12,15",0.06371045112609863,ok selected=5 candidates=21 samples=5000,baseline/iclv1.1_casual_ensmble32/causal_graphs/jm1.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/jm1.json
kdd_ipums_la_97-small,/home/crc00006699/zh/tabiclv2/data178/kdd_ipums_la_97-small,binclass,4150,830,1038,20,2,0.8892100192678227,0.5486414432525635,1.3567063808441162,ok,,8,"7,8,10,12,14,16,17,19",0.16229987144470215,ok selected=8 candidates=20 samples=4150,baseline/iclv1.1_casual_ensmble32/causal_graphs/kdd_ipums_la_97-small.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/kdd_ipums_la_97-small.json
led24,/home/crc00006699/zh/tabiclv2/data178/led24,multiclass,2560,512,640,24,10,0.7375,0.4376976490020752,0.897700309753418,ok,,6,"0,1,3,4,5,11",0.037776947021484375,ok selected=6 candidates=24 samples=2560,baseline/iclv1.1_casual_ensmble32/causal_graphs/led24.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/led24.json
madeline,/home/crc00006699/zh/tabiclv2/data178/madeline,binclass,2512,503,628,259,2,0.643312101910828,1.1096980571746826,4.684240102767944,ok,,10,"89,113,118,135,140,142,192,203,213,237",0.23473238945007324,ok selected=10 candidates=128 samples=2512,baseline/iclv1.1_casual_ensmble32/causal_graphs/madeline.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/madeline.json
mfeat-factors,/home/crc00006699/zh/tabiclv2/data178/mfeat-factors,multiclass,1600,320,400,216,10,0.97,1.0313060283660889,2.660796880722046,ok,,11,"0,13,33,59,70,82,98,111,137,177,208",0.3766920566558838,ok selected=11 candidates=128 samples=1600,baseline/iclv1.1_casual_ensmble32/causal_graphs/mfeat-factors.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/mfeat-factors.json
mfeat-morphological,/home/crc00006699/zh/tabiclv2/data178/mfeat-morphological,multiclass,1600,320,400,6,10,0.7575,0.3432016372680664,0.41089582443237305,ok,,3,"2,3,4",0.0037260055541992188,ok selected=3 candidates=6 samples=1600,baseline/iclv1.1_casual_ensmble32/causal_graphs/mfeat-morphological.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/mfeat-morphological.json
mice_protein_expression,/home/crc00006699/zh/tabiclv2/data178/mice_protein_expression,multiclass,864,173,216,75,8,1.0,0.5107371807098389,0.6871938705444336,ok,,7,"30,32,41,46,56,58,71",0.09446978569030762,ok selected=7 candidates=75 samples=864,baseline/iclv1.1_casual_ensmble32/causal_graphs/mice_protein_expression.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/mice_protein_expression.json
mozilla4,/home/crc00006699/zh/tabiclv2/data178/mozilla4,binclass,12436,2488,3109,4,2,0.9401736892891605,0.38284730911254883,2.023508310317993,ok,,4,"0,1,2,3",0.01079869270324707,ok selected=4 candidates=4 samples=5000,baseline/iclv1.1_casual_ensmble32/causal_graphs/mozilla4.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/mozilla4.json
okcupid_stem,/home/crc00006699/zh/tabiclv2/data178/okcupid_stem,multiclass,21341,4269,5336,13,3,0.7473763118440779,0.6165568828582764,6.148939847946167,ok,,3,"3,7,11",0.020924806594848633,ok selected=3 candidates=13 samples=5000,baseline/iclv1.1_casual_ensmble32/causal_graphs/okcupid_stem.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/okcupid_stem.json
one-hundred-plants-texture,/home/crc00006699/zh/tabiclv2/data178/one-hundred-plants-texture,multiclass,1279,256,320,64,100,0.91875,0.6093666553497314,3.608135938644409,ok,,7,"7,8,11,12,31,32,54",0.1754007339477539,ok selected=7 candidates=64 samples=1279,baseline/iclv1.1_casual_ensmble32/causal_graphs/one-hundred-plants-texture.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/one-hundred-plants-texture.json
