dataset_name,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy_iclv2_ensmble8,accuracy_tabpfnv3,delta_tabpfnv3_minus_iclv2_ensmble8,delta_correct_estimate,winner
allrep,multiclass,3017,604,755,29,4,0.9854304635761588,0.9827814569536424,-0.0026490066225164366,-1.9999999999999096,iclv2_ensmble8
analcatdata_authorship,multiclass,672,135,169,69,4,0.9940828402366864,0.9881656804733728,-0.005917159763313529,-0.9999999999999863,iclv2_ensmble8
artificial-characters,multiclass,8174,1635,2044,7,10,0.9442270058708416,0.9153620352250488,-0.028864970645792853,-59.00000000000059,iclv2_ensmble8
autoUniv-au4-2500,multiclass,2000,400,500,100,3,0.724,0.722,-0.0020000000000000018,-1.0000000000000009,iclv2_ensmble8
autoUniv-au7-1100,multiclass,880,176,220,12,5,0.4045454545454545,0.4363636363636363,0.0318181818181818,6.9999999999999964,tabpfnv3_results
bank,binclass,36168,7234,9043,16,2,0.908879796527701,0.9116443658078072,0.002764569280106155,24.99999999999996,tabpfnv3_results
banknote_authentication,binclass,1097,220,275,4,2,0.5381818181818182,0.5454545454545454,0.0072727272727272085,1.9999999999999822,tabpfnv3_results
baseball,multiclass,1072,215,268,16,3,0.9440298507462688,0.9440298507462688,0.0,0.0,tie
car-evaluation,multiclass,1382,277,346,21,4,0.9855491329479767,1.0,0.014450867052023253,5.000000000000045,tabpfnv3_results
churn,binclass,4000,800,1000,20,2,0.966,0.969,0.0030000000000000027,3.0000000000000027,tabpfnv3_results
cmc,multiclass,1178,236,295,9,3,0.5966101694915255,0.5898305084745763,-0.006779661016949157,-2.0000000000000013,iclv2_ensmble8
company_bankruptcy_prediction,binclass,5455,1091,1364,95,2,0.969208211143695,0.9714076246334312,0.0021994134897361795,3.0000000000001488,tabpfnv3_results
compass,binclass,13315,2663,3329,17,2,0.8257735055572244,0.863923100030039,0.03814959447281463,126.9999999999999,tabpfnv3_results
contraceptive_method_choice,multiclass,1178,236,295,9,3,0.6372881355932203,0.6237288135593221,-0.013559322033898202,-3.99999999999997,iclv2_ensmble8
credit,binclass,13371,2675,3343,10,2,0.7843254561770865,0.784026323661382,-0.00029913251570445887,-1.000000000000006,iclv2_ensmble8
customer_satisfaction_in_airline,binclass,103904,20781,25976,21,2,0.964852171234986,0.9648906683092086,3.8497074222543226e-05,1.0000000000047828,tabpfnv3_results
dabetes_130-us_hospitals,binclass,81412,16283,20354,20,2,0.6440994399135305,0.6457698732435885,0.0016704333300580076,34.00000000000069,tabpfnv3_results
default_of_credit_card_clients,binclass,24000,4800,6000,23,2,0.827,0.8265,-0.0004999999999999449,-2.9999999999996696,iclv2_ensmble8
delta_ailerons,binclass,5703,1141,1426,5,2,0.9523141654978962,0.9488078541374474,-0.003506311360448766,-4.9999999999999405,iclv2_ensmble8
dis,binclass,3017,604,755,29,2,0.990728476821192,0.9894039735099338,-0.0013245033112582183,-0.9999999999999548,iclv2_ensmble8
dna,multiclass,2548,510,638,180,3,0.9717868338557992,0.9733542319749215,0.0015673981191223207,1.0000000000000406,tabpfnv3_results
drug_consumption,multiclass,1507,302,377,12,7,0.403183023872679,0.403183023872679,0.0,0.0,tie
dry_bean_dataset,multiclass,10888,2178,2723,16,7,0.9287550495776716,0.927653323540213,-0.0011017260374586169,-2.9999999999998135,iclv2_ensmble8
