dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_baseline_accuracy,ttt_val_best_roc_auc,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason
kdd_ipums_la_97-small,/home/crc00006699/zh/tabiclv2/data178/kdd_ipums_la_97-small,binclass,4150,830,1038,20,2,0.8834296724470135,0.8830518369813486,0.8834296724470134,0.9467517569358592,0.267445406783556,24.604469299316406,0.77518630027771,ok,,4150,3320,0,1038,,60,5e-06,True,24.604089975357056,tabpfn_finetune_epoch_chunks,dataset_val_split,30,2,tabpfn_finetuning_api,,,0,False,False,
kropt,/home/crc00006699/zh/tabiclv2/data178/kropt,multiclass,22444,4489,5612,6,18,0.9242694226657164,0.9242321964760072,0.9047505964279752,0.9982173443113124,0.2391162830136975,0.0304169654846191,88.65034341812134,ok,,22444,0,0,5612,,0,5e-06,False,0.0,,TTT skipped because n_classes > 10 requires ManyClass baseline inference,0,0,,,,0,False,False,
led7,/home/crc00006699/zh/tabiclv2/data178/led7,multiclass,2560,512,640,7,10,0.740625,0.7399686687844615,0.7403696248592028,0.9595595753177224,0.7906691197263949,55.8974814414978,0.5710906982421875,ok,,2560,2048,0,640,,60,5e-06,True,55.89715766906738,tabpfn_finetune_epoch_chunks,dataset_val_split,30,2,tabpfn_finetuning_api,,,0,False,False,
madeline,/home/crc00006699/zh/tabiclv2/data178/madeline,binclass,2512,503,628,259,2,0.928343949044586,0.9283299545385744,0.9282700421940928,0.9762151087309316,0.1954736377598408,212.58603191375727,4.069781541824341,ok,,2512,2009,0,628,,60,5e-06,True,212.58571195602417,tabpfn_finetune_epoch_chunks,dataset_val_split,30,2,tabpfn_finetuning_api,,,0,False,False,
maternal_health_risk,/home/crc00006699/zh/tabiclv2/data178/maternal_health_risk,multiclass,811,163,203,6,3,0.8620689655172413,0.8569379842098656,0.8619651462105856,0.9636142762741368,0.346200407398558,78.64799952507019,0.4363222122192383,ok,,811,648,0,203,,30,5e-06,True,78.64760279655457,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,,,0,False,False,
mfeat-fourier,/home/crc00006699/zh/tabiclv2/data178/mfeat-fourier,multiclass,1600,320,400,76,10,0.905,0.903940844034474,0.905,0.9940763888888888,0.2277243386178668,24.73409652709961,0.5377302169799805,ok,,1600,1280,0,400,,30,5e-06,True,24.73378825187683,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,,,0,False,False,
mfeat-morphological,/home/crc00006699/zh/tabiclv2/data178/mfeat-morphological,multiclass,1600,320,400,6,10,0.7675,0.7540773635311507,0.7675,0.9726944444444444,0.5006820034646567,38.54799437522888,0.4545290470123291,ok,,1600,1280,0,400,,30,5e-06,True,38.54752564430237,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,,,0,False,False,
mfeat-zernike,/home/crc00006699/zh/tabiclv2/data178/mfeat-zernike,multiclass,1600,320,400,47,10,0.8425,0.8320206528190109,0.8425,0.9851736111111112,0.2430411958744237,50.49650406837464,0.4733731746673584,ok,,1600,1280,0,400,,30,5e-06,True,50.496193170547485,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,,,0,False,False,
microaggregation2,/home/crc00006699/zh/tabiclv2/data178/microaggregation2,multiclass,16000,3200,4000,20,5,0.6415,0.5867418289534441,0.4124573226032203,0.8345041954771604,0.8607207364474416,476.4747407436371,3.00598669052124,ok,,16000,12800,0,4000,,210,5e-06,True,476.47438883781433,tabpfn_finetune_epoch_chunks,dataset_val_split,30,7,tabpfn_finetuning_api,,,0,False,False,
mozilla4,/home/crc00006699/zh/tabiclv2/data178/mozilla4,binclass,12436,2488,3109,4,2,0.9369572209713736,0.9361124830813844,0.9165925114655348,0.975859317347066,0.1703451772288847,137.1172912120819,1.712296962738037,ok,,12436,9948,0,3109,,150,5e-06,True,137.11689853668213,tabpfn_finetune_epoch_chunks,dataset_val_split,30,5,tabpfn_finetuning_api,,,0,False,False,
