dataset_name,direction,accuracy_base,accuracy_ttt,acc_delta_ttt_minus_base,meta_n_features,meta_n_num_features,meta_n_cat_features,meta_total_samples,meta_train_size,meta_val_size,meta_test_size,meta_task_type,meta_num_classes,n_features_base,n_features_ttt,n_classes_base,n_classes_ttt,ttt_applied,ttt_epochs,ttt_steps,f1,roc_auc
predict_students_dropout_and_academic_success,down,0.7830508474576271,0.7796610169491526,-0.003389830508474523,34,5,29,4424,2831,708,885,multiclass,3,34,34,3,3,True,8,8,0.7718771132165337,0.8911147412696909
Bank_Customer_Churn_Dataset,down,0.878,0.8745,-0.0034999999999999476,10,6,4,10000,6400,1600,2000,binclass,2,10,10,2,2,True,8,8,0.8632437488022905,0.8829923914669676
mozilla4,down,0.931810871662914,0.9282727565133484,-0.0035381151495655905,4,4,0,15545,9948,2488,3109,binclass,,4,4,2,2,True,8,8,0.9274324091708476,0.9679035347885568
UJI_Pen_Characters,down,0.575091575091575,0.5714285714285714,-0.00366300366300365,80,80,0,1364,872,219,273,multiclass,35,80,80,35,35,False,0,0,0.5556879043441294,0.9658020447828964
website_phishing,down,0.922509225092251,0.918819188191882,-0.0036900369003689537,9,0,9,1353,865,217,271,multiclass,3,9,9,3,3,True,8,8,0.919185422046047,0.976952384783782
Firm-Teacher_Clave-Direction_Classification,down,0.8740740740740741,0.8703703703703703,-0.0037037037037037646,16,0,16,10800,6912,1728,2160,multiclass,4,16,16,4,4,True,8,8,0.8678622679067794,0.9675181875873334
water_quality,down,0.910625,0.906875,-0.003750000000000031,20,20,0,7996,5116,1280,1600,binclass,2,20,20,2,2,True,8,8,0.8932224553224555,0.905525891597824
sylvine,down,0.977560975609756,0.9736585365853658,-0.0039024390243901363,20,20,0,5124,3279,820,1025,binclass,,20,20,2,2,True,8,8,0.9736583861516886,0.9975919072855748
thyroid-ann,down,0.9960264900662252,0.9920529801324504,-0.003973509933774877,21,21,0,3772,2413,604,755,multiclass,,21,21,3,3,True,8,8,0.9919096028069112,0.9997771226720892
PhishingWebsites,down,0.9773857982813208,0.9733152419719584,-0.004070556309362372,30,0,30,11055,7075,1769,2211,binclass,,30,30,2,2,True,8,8,0.9732931420595444,0.9979260266251098
