dataset,key,layer,group,shape,numel,base_norm,current_norm,delta_l2,rel_l2,mean_abs_delta,median_abs_delta,max_abs_delta,rms_delta,changed_fraction_exact,changed_fraction_gt_1e_12,cosine_similarity
Amazon,icl_predictor.tf_icl.blocks.0.attn.out_proj.weight,block_00,attn.out_proj,512x512,262144,11.804973602294922,11.805166244506836,0.01574389450252056,0.0013336662184029423,2.706771374505479e-05,2.738460898399353e-05,5.0786882638931274e-05,3.0749929874783936e-05,0.9999885559082031,0.9999885559082031,1.000006914138794
Amazon,icl_predictor.tf_icl.blocks.0.attn.out_proj.bias,block_00,attn.out_proj,512,512,0.35981839895248413,0.3598702847957611,0.0005811381270177662,0.0016150873015609562,2.25202165893279e-05,2.207839861512184e-05,4.923716187477112e-05,2.5682920788718658e-05,1.0,1.0,0.9999987483024597
Amazon,icl_predictor.tf_icl.blocks.1.linear1.weight,block_01,ffn.linear1,1024x512,524288,25.012962341308594,25.01312828063965,0.021731317043304443,0.0008688022132994051,2.6183897716691718e-05,2.6450492441654205e-05,5.074217915534973e-05,3.001263291928164e-05,0.9999752044677734,0.9999752044677734,1.0000219345092773
Amazon,icl_predictor.tf_icl.blocks.1.linear1.bias,block_01,ffn.linear1,1024,1024,0.916978657245636,0.9169617295265198,0.0008351784781552851,0.0009107938026202616,2.2234446078073233e-05,2.1062791347503662e-05,5.0244852900505066e-05,2.6099325340816918e-05,1.0,1.0,0.999999463558197
Amazon,icl_predictor.tf_icl.blocks.1.linear2.weight,block_01,ffn.linear2,512x1024,524288,15.429557800292969,15.42937183380127,0.021780088543891907,0.0014115821610569388,2.6354315195931122e-05,2.6671215891838074e-05,5.0766393542289734e-05,3.008000732318062e-05,0.9999923706054688,0.9999923706054688,1.0000200271606445
Amazon,icl_predictor.tf_icl.blocks.1.linear2.bias,block_01,ffn.linear2,512,512,0.3050377070903778,0.3050270676612854,0.0005693375132977962,0.001866449622660074,2.1738456780440174e-05,2.1543150069192052e-05,5.0096772611141205e-05,2.5161399405694897e-05,1.0,1.0,0.9999982714653015
Amazon,icl_predictor.tf_icl.blocks.1.norm1.weight,block_01,norm1,512,512,21.88734245300293,21.887378692626953,0.0006230644066818058,2.8466882538144478e-05,2.3955595679581165e-05,2.4199485778808594e-05,5.042552947998047e-05,2.7535827909546136e-05,0.998046875,0.998046875,1.0
Amazon,icl_predictor.tf_icl.blocks.1.norm1.bias,block_01,norm1,512,512,1.427184820175171,1.4270483255386353,0.0006090172682888806,0.00042672627937123366,2.4545184714952484e-05,2.460111863911152e-05,4.977453500032425e-05,2.6915012809653402e-05,1.0,1.0,0.9999999403953552
Amazon,icl_predictor.tf_icl.blocks.1.norm2.weight,block_01,norm2,512,512,21.496784210205078,21.49683952331543,0.0006712954491376877,3.122771492579691e-05,2.5877379812300205e-05,2.574920654296875e-05,5.0067901611328125e-05,2.9667361525746672e-05,0.998046875,0.998046875,1.0
Amazon,icl_predictor.tf_icl.blocks.1.norm2.bias,block_01,norm2,512,512,0.5770206451416016,0.5770550966262817,0.0005815092590637505,0.001007778948567845,2.2641885152552277e-05,2.1904706954956055e-05,5.062669515609741e-05,2.5699319524145697e-05,1.0,1.0,0.9999995827674866
