dataset,layer,group,num_tensors,numel,mean_abs_delta,rel_l2,max_abs_delta,changed_fraction_gt_1e_12
BNG,block_06,norm1,2,1024,3.704105256474577e-05,0.0007777752850505468,5.078315734863281e-05,1.0
BNG,block_06,norm2,2,1024,2.9917089705122635e-05,0.0005196991733147696,5.060434341430664e-05,1.0
BNG,block_07,attn.in_proj,2,787968,2.808008503052406e-05,0.0006970397448438203,5.078315734863281e-05,0.9954369962215424
BNG,block_07,attn.out_proj,2,262656,3.4008971852017567e-05,0.00130080283710932,5.0768256187438965e-05,0.9999980926513672
BNG,block_07,ffn.linear1,2,525312,3.344296237628441e-05,0.00102384727111801,5.078548565506935e-05,0.9999933242797852
BNG,block_07,ffn.linear2,2,524800,3.419854328967631e-05,0.0018043322917772314,5.077756941318512e-05,0.999995231628418
BNG,block_07,norm1,2,1024,3.2753525374573655e-05,0.0008315324792876335,5.066767334938049e-05,0.9990234375
BNG,block_07,norm2,2,1024,3.3209886169061065e-05,0.0005969174188533008,5.066022276878357e-05,1.0
BNG,block_08,attn.in_proj,2,787968,2.9073637961118948e-05,0.0007926113896840018,5.076080560684204e-05,0.9996681213378906
BNG,block_08,attn.out_proj,2,262656,3.368063335074112e-05,0.0012435404711014066,5.077756941318512e-05,0.9999961853027344
BNG,block_08,ffn.linear1,2,525312,3.174215089529753e-05,0.0009780253691700665,5.076080560684204e-05,0.9999933242797852
BNG,block_08,ffn.linear2,2,524800,3.293937515991274e-05,0.0017135566184482206,5.077198147773743e-05,0.9999990463256836
BNG,block_08,norm1,2,1024,3.569771797629073e-05,0.0007503417540734468,5.0615519285202026e-05,1.0
BNG,block_08,norm2,2,1024,3.202910738764331e-05,0.00061686501805886,5.064159631729126e-05,1.0
BNG,block_09,attn.in_proj,2,787968,2.8012874281557743e-05,0.0007207298957123021,5.078315734863281e-05,0.9986928105354309
BNG,block_09,attn.out_proj,2,262656,3.2247578928945586e-05,0.0012507227384198193,5.072541534900665e-05,0.9999942779541016
BNG,block_09,ffn.linear1,2,525312,3.2628766348352656e-05,0.001045459360708957,5.0809234380722046e-05,0.9999923706054688
BNG,block_09,ffn.linear2,2,524800,3.1830235457164235e-05,0.0016657354843834726,5.0770118832588196e-05,0.9999980926513672
BNG,block_09,norm1,2,1024,3.366488999745343e-05,0.0005886755100462034,5.066394805908203e-05,1.0
BNG,block_09,norm2,2,1024,3.0712008992850315e-05,0.0005990114680141006,5.063274875283241e-05,0.9990234375
BNG,block_10,attn.in_proj,2,787968,2.6592522772261873e-05,0.0007266274366140182,5.0759874284267426e-05,0.9960854947566986
BNG,block_10,attn.out_proj,2,262656,3.135599763481878e-05,0.0014189445389540685,5.0690025091171265e-05,0.9999980926513672
BNG,block_10,ffn.linear1,2,525312,3.169731735397363e-05,0.0009861147729280054,5.075335502624512e-05,0.9999971389770508
BNG,block_10,ffn.linear2,2,524800,3.1997455153032206e-05,0.0012671908030355565,5.070585757493973e-05,0.9999971389770508
BNG,block_10,norm1,2,1024,3.190169081790373e-05,0.0005242576886281094,5.066394805908203e-05,0.9990234375
BNG,block_10,norm2,2,1024,3.1261329240805935e-05,0.0008894413868688075,5.054473876953125e-05,1.0
BNG,block_11,attn.in_proj,2,787968,2.7023311304219533e-05,0.0008151511316895707,5.0661154091358185e-05,0.9677677154541016
BNG,block_11,attn.out_proj,2,262656,2.955156196549069e-05,0.0018230633034355547,5.053915083408356e-05,1.0
BNG,block_11,ffn.linear1,2,525312,3.197260411980096e-05,0.0010019350109708345,5.060620605945587e-05,0.9999942779541016
BNG,block_11,ffn.linear2,2,524800,2.816008600348141e-05,0.002016473832494563,5.038408562541008e-05,0.9999971389770508
BNG,block_11,norm1,2,1024,2.8837259378633462e-05,0.0005726394368264702,5.054473876953125e-05,1.0
BNG,block_11,norm2,2,1024,3.2532359909964725e-05,0.0005905943824372796,4.982948303222656e-05,1.0
BNG,decoder,decoder,4,535562,1.9935132513637654e-05,0.0007882544650911203,5.069654434919357e-05,0.9983120858669281
BNG,ln,ln,2,1024,2.9065931812510826e-05,0.0009122544218619082,5.054473876953125e-05,1.0
BNG,y_encoder,y_encoder,2,5632,2.3125587176764384e-05,0.0001794834609040947,5.078315734863281e-05,0.6000000014901161
