dataset_name,task_type,baseline_acc,n_classes,up_count,down_count,flat_count,first_up_step,last_up_step,best_step,best_acc,best_delta_pp,up_steps,first_down_step,last_down_step,worst_step,worst_acc,worst_delta_pp,down_steps,flat_steps,final_step,final_delta_pp,pattern,delta_pp_step1,delta_pp_step2,delta_pp_step3,delta_pp_step4,delta_pp_step5,delta_pp_step10,delta_pp_step20,delta_pp_step30,delta_pp_step40,delta_pp_step50
MagicTelescope,binclass,0.8848580441640379,2,0,9,1,,,1,0.8848580441640379,0.0,,2,50,10,0.8832807570977917,-0.1577287066246158,"2,3,4,5,10,20,30,40,50",1,50,-0.02628811777076745,nonpositive_decline,0.0,-0.0525762355415349,-0.07886435331230235,-0.1051524710830809,-0.13144058885384835,-0.1577287066246158,-0.1577287066246158,-0.02628811777076745,-0.0525762355415349,-0.02628811777076745
Marketing_Campaign,binclass,0.890625,2,0,1,9,,,1,0.890625,0.0,,50,50,50,0.8883928571428571,-0.22321428571429047,50,"1,2,3,4,5,10,20,30,40",50,-0.22321428571429047,nonpositive_decline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22321428571429047
Mobile_Price_Classification,multiclass,0.94,4,0,0,10,,,1,0.94,0.0,,,,1,0.94,0.0,,"1,2,3,4,5,10,20,30,40,50",50,0.0,all_steps_flat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
National_Health_and_Nutrition_Health_Survey,binclass,0.8399122807017544,2,0,6,4,,,1,0.8399122807017544,0.0,,3,50,3,0.8377192982456141,-0.21929824561403022,"3,4,5,10,20,50","1,2,30,40",50,-0.21929824561403022,nonpositive_decline,0.0,0.0,-0.21929824561403022,-0.21929824561403022,-0.21929824561403022,-0.21929824561403022,-0.21929824561403022,0.0,0.0,-0.21929824561403022
PhishingWebsites,binclass,0.979194934418815,2,7,2,1,1,20,5,0.9800995024875622,0.09045680687471691,"1,2,3,4,5,10,20",40,50,40,0.9782903663500678,-0.09045680687471691,"40,50",30,50,-0.09045680687471691,mixed_ended_in_decline,0.045228403437358455,0.045228403437358455,0.045228403437358455,0.045228403437358455,0.09045680687471691,0.09045680687471691,0.09045680687471691,0.0,-0.09045680687471691,-0.09045680687471691
PieChart3,binclass,0.875,2,3,2,5,20,50,20,0.8796296296296297,0.462962962962965,"20,30,50",1,2,1,0.8703703703703703,-0.462962962962965,"1,2","3,4,5,10,40",50,0.462962962962965,mixed_recovered_to_gain,-0.462962962962965,-0.462962962962965,0.0,0.0,0.0,0.0,0.462962962962965,0.462962962962965,0.0,0.462962962962965
Pima_Indians_Diabetes_Database,binclass,0.7467532467532467,2,0,0,10,,,1,0.7467532467532467,0.0,,,,1,0.7467532467532467,0.0,,"1,2,3,4,5,10,20,30,40,50",50,0.0,all_steps_flat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PizzaCutter3,binclass,0.8803827751196173,2,0,0,10,,,1,0.8803827751196173,0.0,,,,1,0.8803827751196173,0.0,,"1,2,3,4,5,10,20,30,40,50",50,0.0,all_steps_flat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pumpkin_Seeds,binclass,0.872,2,3,3,4,5,20,5,0.874,0.20000000000000018,"5,10,20",30,50,40,0.868,-0.40000000000000036,"30,40,50","1,2,3,4",50,-0.40000000000000036,mixed_ended_in_decline,0.0,0.0,0.0,0.0,0.20000000000000018,0.20000000000000018,0.20000000000000018,-0.20000000000000018,-0.40000000000000036,-0.40000000000000036
QSAR_biodegradation,binclass,0.8862559241706162,2,1,3,6,10,10,10,0.8909952606635071,0.4739336492890933,10,20,40,20,0.8815165876777251,-0.4739336492891044,"20,30,40","1,2,3,4,5,50",50,0.0,mixed_ended_flat,0.0,0.0,0.0,0.0,0.0,0.4739336492890933,-0.4739336492891044,-0.4739336492891044,-0.4739336492891044,0.0
Satellite,binclass,0.9931372549019608,2,0,0,10,,,1,0.9931372549019608,0.0,,,,1,0.9931372549019608,0.0,,"1,2,3,4,5,10,20,30,40,50",50,0.0,all_steps_flat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Telecom_Churn_Dataset,binclass,0.9550224887556222,2,0,3,7,,,1,0.9550224887556222,0.0,,30,50,50,0.952023988005997,-0.2998500749625266,"30,40,50","1,2,3,4,5,10,20",50,-0.2998500749625266,nonpositive_decline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14992503748126884,-0.14992503748126884,-0.2998500749625266
UJI_Pen_Characters,multiclass,0.5421245421245421,35,0,0,10,,,1,0.5421245421245421,0.0,,,,1,0.5421245421245421,0.0,,"1,2,3,4,5,10,20,30,40,50",50,0.0,all_steps_flat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Water_Quality_and_Potability,binclass,0.6417682926829268,2,1,2,7,50,50,50,0.6432926829268293,0.1524390243902496,50,20,30,20,0.6371951219512195,-0.45731707317072656,"20,30","1,2,3,4,5,10,40",50,0.1524390243902496,mixed_recovered_to_gain,0.0,0.0,0.0,0.0,0.0,0.0,-0.45731707317072656,-0.1524390243902385,0.0,0.1524390243902496
Wilt,binclass,0.9927461139896372,2,0,0,10,,,1,0.9927461139896372,0.0,,,,1,0.9927461139896372,0.0,,"1,2,3,4,5,10,20,30,40,50",50,0.0,all_steps_flat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abalone,multiclass,0.6519138755980861,3,3,6,1,2,10,2,0.65311004784689,0.11961722488038617,"2,3,10",4,50,50,0.6291866028708134,-2.2727272727272707,"4,5,20,30,40,50",1,50,-2.2727272727272707,mixed_ended_in_decline,0.0,0.11961722488038617,0.11961722488038617,-0.11961722488038617,-0.11961722488038617,0.11961722488038617,-0.5980861244019087,-0.9569377990430561,-1.3157894736842146,-2.2727272727272707
ada,binclass,0.8481927710843373,2,0,5,5,,,1,0.8481927710843373,0.0,,3,50,3,0.846987951807229,-0.12048192771083599,"3,4,5,10,50","1,2,20,30,40",50,-0.12048192771083599,nonpositive_decline,0.0,0.0,-0.12048192771083599,-0.12048192771083599,-0.12048192771083599,-0.12048192771083599,0.0,0.0,0.0,-0.12048192771083599
ada_agnostic,binclass,0.8400876232201533,2,0,0,10,,,1,0.8400876232201533,0.0,,,,1,0.8400876232201533,0.0,,"1,2,3,4,5,10,20,30,40,50",50,0.0,all_steps_flat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ada_prior,binclass,0.8411829134720701,2,0,4,6,,,1,0.8411829134720701,0.0,,10,50,10,0.8400876232201533,-0.10952902519167917,"10,30,40,50","1,2,3,4,5,20",50,-0.10952902519167917,nonpositive_decline,0.0,0.0,0.0,0.0,0.0,-0.10952902519167917,0.0,-0.10952902519167917,-0.10952902519167917,-0.10952902519167917
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,binclass,0.6025,2,10,0,0,1,50,3,0.6125,1.0000000000000009,"1,2,3,4,5,10,20,30,40,50",,,1,0.605,0.24999999999999467,,,50,0.5000000000000004,all_steps_up,0.24999999999999467,0.5000000000000004,1.0000000000000009,1.0000000000000009,1.0000000000000009,0.7499999999999951,1.0000000000000009,0.7499999999999951,0.5000000000000004,0.5000000000000004
allbp,multiclass,0.9788079470198676,3,0,0,10,,,1,0.9788079470198676,0.0,,,,1,0.9788079470198676,0.0,,"1,2,3,4,5,10,20,30,40,50",50,0.0,all_steps_flat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
