dataset_name,task_type,baseline_acc,best_acc,worst_acc,swing_pp
segment,multiclass,0.935064935064935,0.935064935064935,0.9329004329004328,0.21645021645022577
delta_ailerons,binclass,0.9509116409537168,0.953015427769986,0.9509116409537168,0.21037868162692153
thyroid,multiclass,0.99375,0.99375,0.9916666666666668,0.2083333333333215
BNG(cmc),multiclass,0.58625678119349,0.5884267631103074,0.5863471971066908,0.20795660036165842
Bank_Customer_Churn_Dataset,binclass,0.877,0.8775,0.8755,0.20000000000000018
churn,binclass,0.952,0.954,0.952,0.20000000000000018
kdd_ipums_la_97-small,binclass,0.8882466281310212,0.8882466281310212,0.8863198458574181,0.19267822736031004
PhishingWebsites,binclass,0.979194934418815,0.9800995024875622,0.9782903663500678,0.18091361374943382
mammography,binclass,0.9888243182834152,0.9892713455520786,0.9874832364774252,0.17881090746534323
MagicTelescope,binclass,0.8848580441640379,0.8848580441640379,0.8832807570977917,0.1577287066246158
pol,binclass,0.9836390679226574,0.9836390679226574,0.9821517104610809,0.14873574615765772
taiwanese_bankruptcy_prediction,binclass,0.9706744868035192,0.9721407624633432,0.9706744868035192,0.14662756598240456
INNHotelsGroup,binclass,0.9021364576154376,0.9032391454169538,0.9018607856650586,0.1378359751895264
twonorm,binclass,0.979054054054054,0.9797297297297296,0.9783783783783784,0.13513513513512265
dis,binclass,0.9841059602649008,0.9841059602649008,0.9827814569536424,0.13245033112584403
okcupid_stem,multiclass,0.7475637181409296,0.7488755622188905,0.7475637181409296,0.1311844077960922
mozilla4,binclass,0.9401736892891605,0.9414602766162752,0.9401736892891605,0.128658732711473
water_quality,binclass,0.908125,0.90875,0.9075,0.12499999999999734
California-Housing-Classification,binclass,0.9127906976744186,0.9132751937984496,0.912063953488372,0.1211240310077577
ada,binclass,0.8481927710843373,0.8481927710843373,0.846987951807229,0.12048192771083599
credit,binclass,0.7828297935985642,0.784026323661382,0.7828297935985642,0.11965300628178355
