dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,fit_seconds,predict_seconds,status,error,aoc,aoc_metric,aoc_error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early
kropt,/home/crc00006699/zh/tabiclv2/data178/kropt,multiclass,22444,4489,5612,6,18,0.9164290805416964,0.916335241288993,0.9661552906036376,25.20617175102234,ok,,0.2397020343461295,log_loss,,22444,17955,0,5612,,0,5e-06,False,0.4676771163940429,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | TTT training skipped because n_classes=18 exceeds model max_classes=10,0,0,epoch_chunk,,,0,False
letter,/home/crc00006699/zh/tabiclv2/data178/letter,multiclass,16000,3200,4000,15,26,0.99,0.9899971395278518,1.048200607299805,17.41359567642212,ok,,0.0263592699674518,log_loss,,16000,12800,0,4000,,0,5e-06,False,0.5069434642791748,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | TTT training skipped because n_classes=26 exceeds model max_classes=10,0,0,epoch_chunk,,,0,False
maternal_health_risk,/home/crc00006699/zh/tabiclv2/data178/maternal_health_risk,multiclass,811,163,203,6,3,0.8719211822660099,0.8701077326808658,17.28592586517334,0.5082724094390869,ok,,0.3323774817234611,log_loss,,811,648,0,203,0.4371988493949175,9,5e-06,True,17.259971618652344,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.8282208588957055,0.8343558282208589,1,True
mfeat-karhunen,/home/crc00006699/zh/tabiclv2/data178/mfeat-karhunen,multiclass,1600,320,400,64,10,0.975,0.975015727207024,88.500075340271,1.2379438877105713,ok,,0.0875404046904817,log_loss,,1600,1280,0,400,0.0346997646265663,12,5e-06,True,88.37615489959717,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.978125,0.98125,4,True
mfeat-zernike,/home/crc00006699/zh/tabiclv2/data178/mfeat-zernike,multiclass,1600,320,400,47,10,0.9075,0.9065096971148132,94.5818281173706,0.9934806823730468,ok,,0.2148665694750662,log_loss,,1600,1280,0,400,0.1912147519178688,17,5e-06,True,94.47653698921204,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.9,0.9125,9,True
mobile_c36_oversampling,/home/crc00006699/zh/tabiclv2/data178/mobile_c36_oversampling,binclass,41408,8282,10352,6,2,0.9938176197836168,0.993811875304539,1946.8543865680692,23.3739025592804,ok,,0.0006238823826897,1_minus_roc_auc,,41408,33126,0,10352,0.0314653589157387,24,5e-06,True,1946.6710455417635,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,2,epoch_chunk,0.9944457860420188,0.9948080173871046,4,True
national-longitudinal-survey-binary,/home/crc00006699/zh/tabiclv2/data178/national-longitudinal-survey-binary,binclass,3926,786,982,16,2,1.0,1.0,75.82468700408936,1.4079558849334717,ok,,0.0,1_minus_roc_auc,,3926,3140,0,982,0.0001843574314079,8,5e-06,True,75.74071025848389,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,1.0,1.0,0,True
one-hundred-plants-shape,/home/crc00006699/zh/tabiclv2/data178/one-hundred-plants-shape,multiclass,1280,256,320,64,100,0.840625,0.8301463293650793,0.9219341278076172,5.6302454471588135,ok,,0.5680515296233255,log_loss,,1280,1024,0,320,,0,5e-06,False,0.4612984657287597,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | TTT training skipped because n_classes=100 exceeds model max_classes=10,0,0,epoch_chunk,,,0,False
optdigits,/home/crc00006699/zh/tabiclv2/data178/optdigits,multiclass,4496,900,1124,64,10,0.9973309608540926,0.997330908588654,206.28310227394104,3.768548488616944,ok,,0.0089752454941223,log_loss,,4496,3596,0,1124,0.0165812732593622,9,5e-06,True,206.0330753326416,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.99,0.9922222222222222,1,True
pc1,/home/crc00006699/zh/tabiclv2/data178/pc1,binclass,887,178,222,21,2,0.945945945945946,0.9366302968198704,20.19145631790161,0.8554298877716064,ok,,0.1025764895330112,1_minus_roc_auc,,887,709,0,222,0.1841230052523315,8,5e-06,True,20.131365537643436,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.9325842696629212,0.9325842696629212,0,True
