dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason
E-CommereShippingData,/home/crc00006699/zh/tabiclv2/data178/E-CommereShippingData,binclass,8799,1760,2200,10,2,0.6777272727272727,69.37471914291382,3.044150829315185,ok,,8799,6599,2200,2200,0.5006488561630249,10,5e-06,True,69.276615858078,stratified,stratified split
Employee,/home/crc00006699/zh/tabiclv2/data178/Employee,binclass,3722,745,931,8,2,0.8549946294307197,21.03635597229004,1.0025136470794678,ok,,3722,2791,931,931,0.3776673041284084,10,5e-06,True,20.98774218559265,stratified,stratified split
FICO-HELOC-cleaned,/home/crc00006699/zh/tabiclv2/data178/FICO-HELOC-cleaned,binclass,7896,1580,1975,23,2,0.7463291139240507,61.17441654205322,3.101188898086548,ok,,7896,5922,1974,1975,0.5323874354362488,10,5e-06,True,60.9998414516449,stratified,stratified split
FOREX_audcad-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audcad-day-High,binclass,1467,294,367,10,2,0.7520435967302452,11.027362585067747,0.4314467906951904,ok,,1467,1100,367,367,0.5753895342350006,10,5e-06,True,10.99253249168396,stratified,stratified split
FOREX_audcad-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audcad-hour-High,binclass,35060,7012,8765,10,2,0.7147746719908727,815.0329160690308,23.49135136604309,ok,,35060,26295,8765,8765,0.5519765391945839,10,5e-06,True,814.7264358997345,stratified,stratified split
FOREX_audchf-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audchf-day-High,binclass,1466,294,367,10,2,0.7493188010899182,10.977057933807371,0.4248716831207275,ok,,1466,1099,367,367,0.5356999337673187,10,5e-06,True,10.940774202346802,stratified,stratified split
FOREX_audjpy-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audjpy-day-High,binclass,1465,293,367,10,2,0.7574931880108992,10.985798835754396,0.3898108005523681,ok,,1465,1098,367,367,0.5000721253454685,10,5e-06,True,10.95393419265747,stratified,stratified split
FOREX_audjpy-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audjpy-hour-High,binclass,35060,7012,8765,10,2,0.724814603536794,811.4519872665405,23.484798431396484,ok,,35060,26295,8765,8765,0.5611303746700287,10,5e-06,True,811.1751296520233,stratified,stratified split
FOREX_audsgd-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audsgd-hour-High,binclass,35060,7012,8765,10,2,0.7053051911009698,811.1610202789307,23.30336833000183,ok,,35060,26295,8765,8765,0.5762670859694481,10,5e-06,True,810.8113458156586,stratified,stratified split
FOREX_audusd-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audusd-hour-High,binclass,35060,7012,8765,10,2,0.7018824871648602,810.9133629798889,23.33212947845459,ok,,35060,26295,8765,8765,0.5771533772349358,10,5e-06,True,810.577883720398,stratified,stratified split
